transID,value
NONHSAT258876.1,-62.5
NONHSAT137577.2,-321.3
NONHSAT137581.2,-315.4
NONHSAT137585.2,-214.5
NONHSAT137588.2,-405
NONHSAT137589.2,-647
NONHSAT137593.2,-257.2
NONHSAT137606.2,-1019.4
NONHSAT137622.2,-212.4
NONHSAT137625.2,-162.7
NONHSAT137626.2,-162.2
NONHSAT137630.2,-211.7
NONHSAT137634.2,-45.7
NONHSAT223418.1,-474.37
NONHSAT223420.1,-374.1
NONHSAT223421.1,-127.3
NONHSAT223422.1,-684.3
NONHSAT223423.1,-124.1
NONHSAT223424.1,-159.9
NONHSAT223425.1,-46.5
NONHSAT223426.1,-713.8
NONHSAT223427.1,-1124.1
NONHSAT258777.1,-391.6
NONHSAT258783.1,-188.4
NONHSAT258789.1,-270.8
NONHSAT258790.1,-104.6
NONHSAT258791.1,-328
NONHSAT258792.1,-182.5
NONHSAT258793.1,-442
NONHSAT258795.1,-94.9
NONHSAT137046.2,-212.01
NONHSAT137048.2,-191.1
NONHSAT223334.1,-215.51
NONHSAT223335.1,-331.5
NONHSAT223336.1,-543.7
NONHSAT223337.1,-535.6
NONHSAT258674.1,-905.3
NONHSAT258675.1,-770.8
NONHSAT258676.1,-418.3
NONHSAT258677.1,-1077.2
NONHSAT258678.1,-280.6
NONHSAT258679.1,-911.5
NONHSAT258680.1,-329.1
NONHSAT258681.1,-374.2
NONHSAT223265.1,-476.1
NONHSAT136250.2,-254.7
NONHSAT136251.2,-312.7
NONHSAT223186.1,-407
NONHSAT223187.1,-399.8
NONHSAT223188.1,-216.4
NONHSAT223189.1,-156.3
NONHSAT223190.1,-148.4
NONHSAT258512.1,-491
NONHSAT258513.1,-242.7
NONHSAT258514.1,-222.4
NONHSAT258515.1,-603.8
NONHSAT258516.1,-322.6
NONHSAT258518.1,-464.6
NONHSAT258519.1,-324.1
NONHSAT258520.1,-201.1
NONHSAT258521.1,-237.3
NONHSAT222786.1,-464
NONHSAT137260.2,-330.6
NONHSAT137261.2,-1005.5
NONHSAT137263.2,-59.9
NONHSAT222731.1,-254.8
NONHSAT222732.1,-476.8
NONHSAT258180.1,-330.5
NONHSAT258182.1,-311.7
NONHSAT258183.1,-484.5
NONHSAT258184.1,-132.1
NONHSAT258185.1,-116
NONHSAT258186.1,-102.9
NONHSAT258187.1,-313.1
NONHSAT258188.1,-114.6
NONHSAT258189.1,-128
NONHSAT258191.1,-257.8
NONHSAT258192.1,-105
NONHSAT258193.1,-101.1
NONHSAT137053.2,-1099.3
NONHSAT137054.2,-385.5
NONHSAT222709.1,-325.6
NONHSAT258154.1,-303.7
NONHSAT258155.1,-295.5
NONHSAT136526.2,-223
NONHSAT136527.2,-133.1
NONHSAT222586.1,-323.8
NONHSAT222588.1,-131.9
NONHSAT258097.1,-419.7
NONHSAT258098.1,-102.5
NONHSAT136294.2,-697.7
NONHSAT136295.2,-944.3
NONHSAT136296.2,-254.9
NONHSAT136297.2,-75.2
NONHSAT136299.2,-573.1
NONHSAT136300.2,-60.8
NONHSAT136302.2,-136.2
NONHSAT136303.2,-120.2
NONHSAT136304.2,-103
NONHSAT136307.2,-105
NONHSAT136308.2,-95.6
NONHSAT222508.1,-761.6
NONHSAT222509.1,-38.3
NONHSAT222510.1,-75.8
NONHSAT222511.1,-117.2
NONHSAT222512.1,-74.4
NONHSAT222513.1,-181.7
NONHSAT222514.1,-79.3
NONHSAT222515.1,-255
NONHSAT222516.1,-97.8
NONHSAT136054.2,-143
NONHSAT136056.2,-780.7
NONHSAT136057.2,-973.3
NONHSAT136058.2,-253.5
NONHSAT136059.2,-707.7
NONHSAT136060.2,-371.6
NONHSAT136061.2,-211.4
NONHSAT136062.2,-143
NONHSAT222453.1,-507.9
NONHSAT222454.1,-258.2
NONHSAT222455.1,-100.7
NONHSAT258021.1,-631
NONHSAT258026.1,-670.34
NONHSAT258033.1,-545.2
NONHSAT258034.1,-694.5
NONHSAT135550.2,-395.3
NONHSAT135551.2,-258
NONHSAT135553.2,-832.5
NONHSAT220382.1,-583.3
NONHSAT220383.1,-226.9
NONHSAT222331.1,-782.3
NONHSAT257220.1,-1810
NONHSAT257229.1,-805.1
NONHSAT257230.1,-981.3
NONHSAT257231.1,-1443.1
NONHSAT257232.1,-1208.7
NONHSAT222270.1,-831.3
NONHSAT222271.1,-869.6
NONHSAT257155.1,-1026.3
NONHSAT257159.1,-270.8
NONHSAT135031.2,-872.4
NONHSAT135032.2,-773.5
NONHSAT135034.2,-282.7
NONHSAT135035.2,-128.1
NONHSAT220247.1,-966.9
NONHSAT220249.1,-283.8
NONHSAT222256.1,-684.1
NONHSAT257112.1,-275.3
NONHSAT257113.1,-1308.9
NONHSAT134429.2,-134.4
NONHSAT220072.1,-48.1
NONHSAT220073.1,-139.6
NONHSAT222176.1,-507.6
NONHSAT257028.1,-106.97
NONHSAT257031.1,-428.1
NONHSAT133379.2,-605.7
NONHSAT133380.2,-89.2
NONHSAT222078.1,-407.5
NONHSAT133280.2,-142.3
NONHSAT133281.2,-697.5
NONHSAT219836.1,-684.5
NONHSAT131793.2,-510.4
NONHSAT131794.2,-261.1
NONHSAT131795.2,-137.3
NONHSAT131796.2,-335.4
NONHSAT131797.2,-83.8
NONHSAT131799.2,-48.1
NONHSAT131800.2,-371.7
NONHSAT131802.2,-522.4
NONHSAT131803.2,-480.6
NONHSAT131804.2,-76.3
NONHSAT220803.1,-103.9
NONHSAT220804.1,-172.1
NONHSAT220805.1,-101.8
NONHSAT220806.1,-85.1
NONHSAT220807.1,-164.6
NONHSAT220808.1,-154.8
NONHSAT220809.1,-133.5
NONHSAT220810.1,-163
NONHSAT220811.1,-100.6
NONHSAT220812.1,-151.4
NONHSAT220813.1,-253.2
NONHSAT220814.1,-120.6
NONHSAT220815.1,-126.5
NONHSAT220816.1,-173.7
NONHSAT220817.1,-265
NONHSAT220818.1,-88.1
NONHSAT220819.1,-879.4
NONHSAT221900.1,-181
NONHSAT130388.2,-191.3
NONHSAT130389.2,-77.9
NONHSAT220558.1,-240.9
NONHSAT220560.1,-283.4
NONHSAT257351.1,-333.4
NONHSAT257353.1,-699.3
NONHSAT257354.1,-854.9
NONHSAT257359.1,-172.5
NONHSAT257364.1,-256.6
NONHSAT257365.1,-285.8
NONHSAT257366.1,-1021.5
NONHSAT257367.1,-737.1
NONHSAT221365.1,-665.2
NONHSAT257845.1,-227.6
NONHSAT221071.1,-53.8
NONHSAT221072.1,-64.6
NONHSAT221073.1,-667.2
NONHSAT257677.1,-240.3
NONHSAT257678.1,-1196.2
NONHSAT257679.1,-818.6
NONHSAT257680.1,-574.4
NONHSAT257681.1,-530.9
NONHSAT133111.2,-252.8
NONHSAT133112.2,-239.5
NONHSAT133113.2,-216.8
NONHSAT221004.1,-610.8
NONHSAT221005.1,-281.7
NONHSAT221006.1,-217.8
NONHSAT257611.1,-203.5
NONHSAT257613.1,-1298.8
NONHSAT257614.1,-959.8
NONHSAT257615.1,-276.8
NONHSAT257616.1,-221.9
NONHSAT132998.2,-352.4
NONHSAT133001.2,-78.8
NONHSAT133002.2,-234.5
NONHSAT220987.1,-462.7
NONHSAT220988.1,-239.9
NONHSAT220989.1,-68.7
NONHSAT257608.1,-130.1
NONHSAT257609.1,-644.7
NONHSAT220731.1,-828.9
NONHSAT220549.1,-95.2
NONHSAT220519.1,-305.1
NONHSAT257327.1,-261.5
NONHSAT129993.2,-926.2
NONHSAT129994.2,-1024.6
NONHSAT129996.2,-121.4
NONHSAT129997.2,-196.5
NONHSAT129999.2,-316.5
NONHSAT130000.2,-207.6
NONHSAT130002.2,-661.6
NONHSAT130003.2,-142.4
NONHSAT220448.1,-54.6
NONHSAT257275.1,-1108.8
NONHSAT257276.1,-991.9
NONHSAT257277.1,-1044.4
NONHSAT257278.1,-382.2
NONHSAT257279.1,-411.3
NONHSAT257280.1,-787.9
NONHSAT257281.1,-654.9
NONHSAT135424.2,-124.9
NONHSAT220342.1,-124.5
NONHSAT220343.1,-140.5
NONHSAT220345.1,-228.6
NONHSAT220251.1,-1183.6
NONHSAT257120.1,-1183.8
NONHSAT220224.1,-145.7
NONHSAT220212.1,-208.5
NONHSAT220190.1,-165.7
NONHSAT134550.2,-104.7
NONHSAT220121.1,-379
NONHSAT220122.1,-105.5
NONHSAT220123.1,-340.3
NONHSAT257051.1,-131.4
NONHSAT257052.1,-177.3
NONHSAT257054.1,-142.1
NONHSAT257056.1,-271.7
NONHSAT257057.1,-185.3
NONHSAT257058.1,-142.4
NONHSAT257060.1,-112.2
NONHSAT134356.2,-1076.5
NONHSAT134357.2,-371.5
NONHSAT220038.1,-1076.7
NONHSAT220040.1,-204.2
NONHSAT220041.1,-373.4
NONHSAT220042.1,-225.5
NONHSAT133423.2,-284.8
NONHSAT219877.1,-305
NONHSAT219878.1,-89.1
NONHSAT219879.1,-54.6
NONHSAT133287.2,-115
NONHSAT219845.1,-203.5
NONHSAT219846.1,-85.1
NONHSAT219847.1,-164.3
NONHSAT256898.1,-1145.5
NONHSAT132596.2,-501.3
NONHSAT132597.2,-396.3
NONHSAT132600.2,-138.6
NONHSAT132601.2,-119.97
NONHSAT219688.1,-598.6
NONHSAT219689.1,-541.9
NONHSAT219690.1,-183.8
NONHSAT219691.1,-627.1
NONHSAT256791.1,-232.1
NONHSAT256792.1,-416.2
NONHSAT256793.1,-450.27
NONHSAT256794.1,-1013.4
NONHSAT256795.1,-882
NONHSAT219537.1,-501
NONHSAT219538.1,-524.7
NONHSAT219539.1,-186.3
NONHSAT130993.2,-291.7
NONHSAT130994.2,-196.67
NONHSAT130996.2,-110.5
NONHSAT130997.2,-15
NONHSAT130999.2,-151
NONHSAT131000.2,-101.8
NONHSAT219454.1,-109.2
NONHSAT219455.1,-93
NONHSAT219456.1,-166.9
NONHSAT130900.2,-216.3
NONHSAT219433.1,-210.1
NONHSAT219434.1,-167.2
NONHSAT219435.1,-300.5
NONHSAT219436.1,-395.6
NONHSAT219437.1,-419.8
NONHSAT219438.1,-229.3
NONHSAT219440.1,-319.5
NONHSAT256598.1,-1406.5
NONHSAT256599.1,-75.8
NONHSAT256600.1,-245.6
NONHSAT256601.1,-71.5
NONHSAT256603.1,-1292.2
NONHSAT256604.1,-1222
NONHSAT256605.1,-292.2
NONHSAT130776.2,-193.7
NONHSAT130777.2,-279.1
NONHSAT130779.2,-71.6
NONHSAT130782.2,-904.1
NONHSAT130785.2,-777.7
NONHSAT130786.2,-442.7
NONHSAT130788.2,-446.1
NONHSAT219414.1,-278.6
NONHSAT219415.1,-67.5
NONHSAT219416.1,-248.1
NONHSAT219417.1,-156
NONHSAT219418.1,-307.3
NONHSAT256591.1,-587.6
NONHSAT130724.2,-128.1
NONHSAT130725.2,-217.2
NONHSAT219403.1,-346.9
NONHSAT219404.1,-209.6
NONHSAT256579.1,-1280.3
NONHSAT256580.1,-342
NONHSAT130705.2,-226.9
NONHSAT130706.2,-264.3
NONHSAT130708.2,-75.7
NONHSAT130710.2,-413.6
NONHSAT219395.1,-291.9
NONHSAT219396.1,-306.9
NONHSAT219397.1,-250.4
NONHSAT219398.1,-216
NONHSAT219400.1,-659
NONHSAT256574.1,-303.4
NONHSAT256575.1,-740.3
NONHSAT256576.1,-445.5
NONHSAT256577.1,-553.5
NONHSAT130413.2,-260.6
NONHSAT130414.2,-239.7
NONHSAT130415.2,-508.78
NONHSAT130416.2,-319.6
NONHSAT130417.2,-379.1
NONHSAT130418.2,-833.8
NONHSAT130419.2,-367.3
NONHSAT130420.2,-497.2
NONHSAT130421.2,-1134.8
NONHSAT130422.2,-417.48
NONHSAT130423.2,-474.48
NONHSAT130424.2,-297.9
NONHSAT130425.2,-425.38
NONHSAT130426.2,-729.7
NONHSAT130427.2,-298.98
NONHSAT130428.2,-207.7
NONHSAT130431.2,-133.5
NONHSAT130434.2,-203.9
NONHSAT130441.2,-816.5
NONHSAT130442.2,-597.6
NONHSAT130444.2,-82.2
NONHSAT130449.2,-308.77
NONHSAT130450.2,-114.7
NONHSAT219314.1,-169.3
NONHSAT219315.1,-568.8
NONHSAT219316.1,-94
NONHSAT219317.1,-183.7
NONHSAT219318.1,-19
NONHSAT219322.1,-113.1
NONHSAT256529.1,-750.6
NONHSAT256530.1,-606.5
NONHSAT256531.1,-156
NONHSAT256532.1,-385.6
NONHSAT256533.1,-193.9
NONHSAT256534.1,-159
NONHSAT256536.1,-731.3
NONHSAT256537.1,-213.6
NONHSAT256538.1,-226.3
NONHSAT256539.1,-148.6
NONHSAT256540.1,-640.6
NONHSAT256541.1,-183
NONHSAT256543.1,-268.4
NONHSAT256544.1,-209.68
NONHSAT256545.1,-348.5
NONHSAT256546.1,-186.1
NONHSAT256547.1,-163.5
NONHSAT256553.1,-137.6
NONHSAT256554.1,-171
NONHSAT256555.1,-845.3
NONHSAT219287.1,-114.1
NONHSAT219258.1,-191.64
NONHSAT219259.1,-329.1
NONHSAT256511.1,-271.1
NONHSAT256512.1,-407.3
NONHSAT256513.1,-283.4
NONHSAT256514.1,-774.7
NONHSAT256515.1,-796.6
NONHSAT130200.2,-115
NONHSAT130201.2,-867.5
NONHSAT219192.1,-259.4
NONHSAT219193.1,-131.6
NONHSAT130052.2,-602.1
NONHSAT219157.1,-117.1
NONHSAT219158.1,-227.2
NONHSAT256454.1,-852.6
NONHSAT256455.1,-1080.3
NONHSAT256456.1,-1116.6
NONHSAT256457.1,-844.74
NONHSAT256458.1,-1027.6
NONHSAT130021.2,-330.7
NONHSAT130022.2,-299.8
NONHSAT130023.2,-164.9
NONHSAT130024.2,-141.9
NONHSAT130025.2,-262.1
NONHSAT130026.2,-295.5
NONHSAT130027.2,-174.2
NONHSAT130029.2,-173.8
NONHSAT130031.2,-119.7
NONHSAT219134.1,-261.4
NONHSAT219135.1,-163.5
NONHSAT219136.1,-173.8
NONHSAT219137.1,-608.1
NONHSAT219138.1,-129
NONHSAT219139.1,-286.2
NONHSAT219140.1,-139.7
NONHSAT219141.1,-122.9
NONHSAT256446.1,-914.89
NONHSAT256450.1,-428.99
NONHSAT256451.1,-129.2
NONHSAT256452.1,-265.6
NONHSAT256453.1,-303.9
NONHSAT129270.2,-291.7
NONHSAT129271.2,-261.8
NONHSAT129272.2,-454.6
NONHSAT129274.2,-83.8
NONHSAT216506.1,-1014
NONHSAT216508.1,-230.6
NONHSAT216509.1,-289.3
NONHSAT216510.1,-383.7
NONHSAT216511.1,-346.5
NONHSAT218944.1,-135.4
NONHSAT255476.1,-126.1
NONHSAT255477.1,-241.6
NONHSAT255479.1,-1210.6
NONHSAT125821.2,-215.6
NONHSAT125823.2,-466.1
NONHSAT125825.2,-243.1
NONHSAT125832.2,-495
NONHSAT216894.1,-639.1
NONHSAT216895.1,-1189.2
NONHSAT216896.1,-307.1
NONHSAT216897.1,-939.5
NONHSAT216898.1,-644.2
NONHSAT216900.1,-254.2
NONHSAT216903.1,-558.27
NONHSAT218024.1,-907.6
NONHSAT255795.1,-210.8
NONHSAT255798.1,-343
NONHSAT255801.1,-351.7
NONHSAT255802.1,-226.1
NONHSAT255803.1,-215.1
NONHSAT125585.2,-59.1
NONHSAT217970.1,-361.4
NONHSAT217971.1,-276.2
NONHSAT217972.1,-293.4
NONHSAT217973.1,-448.8
NONHSAT254926.1,-254.8
NONHSAT254929.1,-568.4
NONHSAT125396.2,-152.7
NONHSAT125397.2,-233.9
NONHSAT215505.1,-48.3
NONHSAT215506.1,-313.4
NONHSAT215507.1,-340.6
NONHSAT215508.1,-517.3
NONHSAT217951.1,-351.6
NONHSAT254897.1,-192.7
NONHSAT124736.2,-204.8
NONHSAT124738.2,-238.2
NONHSAT215326.1,-883.7
NONHSAT215327.1,-295.5
NONHSAT215328.1,-348.1
NONHSAT215329.1,-174
NONHSAT215330.1,-1181.2
NONHSAT215331.1,-372.9
NONHSAT217857.1,-617.9
NONHSAT217858.1,-785.7
NONHSAT217859.1,-724.9
NONHSAT217860.1,-344.9
NONHSAT217861.1,-44.8
NONHSAT217862.1,-138.1
NONHSAT217864.1,-358.2
NONHSAT217865.1,-447.6
NONHSAT254758.1,-226
NONHSAT254763.1,-112.9
NONHSAT217682.1,-191.8
NONHSAT217683.1,-87.1
NONHSAT256332.1,-720.3
NONHSAT256333.1,-214.9
NONHSAT256334.1,-602.5
NONHSAT256337.1,-177.2
NONHSAT256338.1,-544.7
NONHSAT256339.1,-429
NONHSAT256340.1,-1037.2
NONHSAT256341.1,-151.3
NONHSAT256342.1,-503
NONHSAT129016.2,-118.4
NONHSAT129018.2,-74.3
NONHSAT129019.2,-334.6
NONHSAT129020.2,-292.4
NONHSAT129021.2,-368.9
NONHSAT129022.2,-726.6
NONHSAT129025.2,-90.8
NONHSAT129026.2,-1069.57
NONHSAT129028.2,-269.3
NONHSAT129029.2,-416.1
NONHSAT129030.2,-218.8
NONHSAT129035.2,-377.8
NONHSAT147661.2,-782.4
NONHSAT217597.1,-118.4
NONHSAT217598.1,-392
NONHSAT217599.1,-248.7
NONHSAT217601.1,-137.9
NONHSAT217602.1,-239.3
NONHSAT217603.1,-154.6
NONHSAT217604.1,-154.3
NONHSAT217605.1,-1117.2
NONHSAT217606.1,-95.1
NONHSAT217607.1,-84.9
NONHSAT217608.1,-623.5
NONHSAT217609.1,-337.9
NONHSAT217614.1,-572.7
NONHSAT217615.1,-686.1
NONHSAT256249.1,-169.3
NONHSAT256250.1,-285.6
NONHSAT256251.1,-110.5
NONHSAT256252.1,-637.1
NONHSAT127943.2,-325
NONHSAT127946.2,-84.5
NONHSAT217404.1,-99.2
NONHSAT217405.1,-943.2
NONHSAT256120.1,-376.5
NONHSAT256122.1,-444.8
NONHSAT217389.1,-115.1
NONHSAT217367.1,-132.8
NONHSAT217368.1,-56.5
NONHSAT127610.2,-413.1
NONHSAT127611.2,-527.9
NONHSAT127612.2,-218.3
NONHSAT127613.2,-189.5
NONHSAT127615.2,-84
NONHSAT127616.2,-66.6
NONHSAT127617.2,-166.7
NONHSAT127620.2,-963.6
NONHSAT127621.2,-549.1
NONHSAT127622.2,-550.24
NONHSAT127623.2,-233.2
NONHSAT127624.2,-353.14
NONHSAT127625.2,-214.3
NONHSAT217328.1,-53.9
NONHSAT256045.1,-499.5
NONHSAT256046.1,-360
NONHSAT256054.1,-470.5
NONHSAT256056.1,-428.2
NONHSAT256057.1,-232
NONHSAT256058.1,-380.8
NONHSAT256059.1,-265
NONHSAT256060.1,-286.5
NONHSAT256063.1,-794.8
NONHSAT256065.1,-1040.4
NONHSAT256066.1,-747.2
NONHSAT256067.1,-619.64
NONHSAT256068.1,-611.7
NONHSAT127606.2,-118
NONHSAT217322.1,-66.2
NONHSAT256040.1,-899.94
NONHSAT256041.1,-492.4
NONHSAT127447.2,-351.7
NONHSAT127448.2,-486
NONHSAT217278.1,-269.2
NONHSAT217279.1,-489.4
NONHSAT127363.2,-144.5
NONHSAT127365.2,-492.7
NONHSAT127366.2,-266.3
NONHSAT217250.1,-509.77
NONHSAT217251.1,-478.2
NONHSAT256008.1,-613.1
NONHSAT256009.1,-246.6
NONHSAT256010.1,-382.1
NONHSAT256011.1,-262.6
NONHSAT127016.2,-312.2
NONHSAT127017.2,-139.2
NONHSAT217158.1,-113.5
NONHSAT217161.1,-203.3
NONHSAT217162.1,-169.7
NONHSAT255938.1,-314
NONHSAT255940.1,-207.3
NONHSAT255941.1,-295.2
NONHSAT255942.1,-431.45
NONHSAT255943.1,-74.85
NONHSAT255944.1,-63.1
NONHSAT255946.1,-247.3
NONHSAT255948.1,-77.2
NONHSAT217152.1,-114.4
NONHSAT126821.2,-225.4
NONHSAT126822.2,-1054.7
NONHSAT126823.2,-448.1
NONHSAT126824.2,-181.5
NONHSAT126825.2,-166.4
NONHSAT126826.2,-127.2
NONHSAT126827.2,-209.4
NONHSAT126829.2,-257.5
NONHSAT126830.2,-139.7
NONHSAT126831.2,-236.6
NONHSAT217097.1,-257.5
NONHSAT217098.1,-51.9
NONHSAT255907.1,-134.8
NONHSAT255908.1,-985.9
NONHSAT217020.1,-125
NONHSAT126263.2,-946.8
NONHSAT126264.2,-413.5
NONHSAT216982.1,-71.9
NONHSAT255865.1,-1301.6
NONHSAT255866.1,-336.7
NONHSAT255867.1,-26.8
NONHSAT216956.1,-205.1
NONHSAT126048.2,-318.6
NONHSAT126051.2,-105.7
NONHSAT126052.2,-143.9
NONHSAT216938.1,-425.3
NONHSAT216939.1,-750.2
NONHSAT216940.1,-1410.8
NONHSAT255830.1,-835.7
NONHSAT255835.1,-382.7
NONHSAT255836.1,-224.8
NONHSAT255837.1,-272.4
NONHSAT255838.1,-212
NONHSAT255839.1,-234.6
NONHSAT216917.1,-151.5
NONHSAT125251.2,-108.2
NONHSAT125252.2,-146.1
NONHSAT125253.2,-146.6
NONHSAT125254.2,-75.6
NONHSAT125255.2,-68.3
NONHSAT216806.1,-612
NONHSAT216807.1,-58.9
NONHSAT255733.1,-195.2
NONHSAT255734.1,-139
NONHSAT255735.1,-72.8
NONHSAT255736.1,-240.4
NONHSAT216715.1,-139.2
NONHSAT255623.1,-937.3
NONHSAT255624.1,-824.1
NONHSAT255625.1,-1014
NONHSAT255626.1,-841.1
NONHSAT216681.1,-122.6
NONHSAT216677.1,-130.4
NONHSAT216669.1,-274.7
NONHSAT129573.2,-175.3
NONHSAT129576.2,-760.84
NONHSAT216639.1,-1012.8
NONHSAT216640.1,-181.7
NONHSAT216641.1,-143.2
NONHSAT255520.1,-913.8
NONHSAT255525.1,-511.5
NONHSAT255526.1,-381.4
NONHSAT129048.2,-665.3
NONHSAT129050.2,-183
NONHSAT129051.2,-550.5
NONHSAT129052.2,-158.1
NONHSAT129053.2,-377.6
NONHSAT129056.2,-203.2
NONHSAT129058.2,-364.5
NONHSAT129060.2,-68.1
NONHSAT129061.2,-449.1
NONHSAT129062.2,-276.2
NONHSAT129063.2,-555.5
NONHSAT129064.2,-178.6
NONHSAT129065.2,-153.2
NONHSAT129069.2,-179.6
NONHSAT129070.2,-56.1
NONHSAT129073.2,-576.3
NONHSAT129074.2,-119.3
NONHSAT129075.2,-274.5
NONHSAT129082.2,-136.5
NONHSAT129083.2,-164
NONHSAT129084.2,-179
NONHSAT129085.2,-150.7
NONHSAT129086.2,-130.5
NONHSAT129087.2,-206.9
NONHSAT129088.2,-277
NONHSAT129089.2,-201.7
NONHSAT129090.2,-97.3
NONHSAT129091.2,-177.9
NONHSAT129092.2,-110.9
NONHSAT216409.1,-448.61
NONHSAT216413.1,-163.9
NONHSAT216414.1,-1052.4
NONHSAT216416.1,-38.7
NONHSAT216418.1,-763.2
NONHSAT255415.1,-318.4
NONHSAT255416.1,-421.2
NONHSAT255417.1,-525.9
NONHSAT255418.1,-247.6
NONHSAT255419.1,-598.6
NONHSAT255420.1,-406.6
NONHSAT255421.1,-441.9
NONHSAT255422.1,-57.6
NONHSAT255423.1,-225.1
NONHSAT255424.1,-362.3
NONHSAT255425.1,-614.3
NONHSAT255427.1,-148
NONHSAT255430.1,-183.7
NONHSAT255433.1,-145.3
NONHSAT255434.1,-761.92
NONHSAT255435.1,-298.6
NONHSAT255436.1,-368.6
NONHSAT255437.1,-260.8
NONHSAT255439.1,-208.4
NONHSAT255440.1,-319.7
NONHSAT255441.1,-283.1
NONHSAT255443.1,-84
NONHSAT255444.1,-267.82
NONHSAT255445.1,-345.2
NONHSAT255449.1,-172.8
NONHSAT255451.1,-232.8
NONHSAT255457.1,-163.9
NONHSAT216396.1,-502.8
NONHSAT216329.1,-310.04
NONHSAT216141.1,-883.8
NONHSAT216111.1,-81.7
NONHSAT216016.1,-244
NONHSAT216017.1,-179.1
NONHSAT216018.1,-167.8
NONHSAT255203.1,-292.8
NONHSAT255204.1,-329.2
NONHSAT255205.1,-714.1
NONHSAT255206.1,-177.4
NONHSAT215910.1,-197.2
NONHSAT255129.1,-117.4
NONHSAT126881.2,-786.2
NONHSAT126882.2,-402.6
NONHSAT126888.2,-190.3
NONHSAT126889.2,-191.2
NONHSAT126890.2,-295.5
NONHSAT126892.2,-140.5
NONHSAT126893.2,-156
NONHSAT126894.2,-158.1
NONHSAT126896.2,-96
NONHSAT126897.2,-108.3
NONHSAT126898.2,-80.4
NONHSAT126899.2,-74.3
NONHSAT126900.2,-92.8
NONHSAT126901.2,-226.74
NONHSAT126902.2,-86
NONHSAT215880.1,-910
NONHSAT215881.1,-807.9
NONHSAT215882.1,-125.5
NONHSAT215883.1,-86
