transID,eng
NONMMUT034583.2,-130.3
NONMMUT034584.2,-184.6
NONMMUT034585.2,-212
NONMMUT034586.2,-135.9
NONMMUT034588.2,-141.6
NONMMUT034589.2,-115.3
NONMMUT034590.2,-106.2
NONMMUT106178.1,-1167
NONMMUT027858.2,-664.3
NONMMUT027860.2,-123.9
NONMMUT100505.1,-789.9
NONMMUT077169.1,-542.9
NONMMUT100637.1,-188.1
NONMMUT060849.2,-281.3
NONMMUT031602.2,-138.9
NONMMUT031603.2,-238.37
NONMMUT031605.2,-431.4
NONMMUT031606.2,-175.5
NONMMUT031608.2,-87.2
NONMMUT021344.2,-483.8
NONMMUT021345.2,-236.7
NONMMUT021346.2,-227
NONMMUT021347.2,-101.3
NONMMUT094511.1,-442.6
NONMMUT024413.2,-1891.1
NONMMUT024414.2,-358.4
NONMMUT024415.2,-396.9
NONMMUT144105.1,-1676.4
NONMMUT144106.1,-1878.3
NONMMUT144107.1,-1385.5
NONMMUT144108.1,-1920.1
NONMMUT144109.1,-1953.9
NONMMUT144110.1,-1811.7
NONMMUT144111.1,-1922.9
NONMMUT144112.1,-1955.9
NONMMUT144113.1,-2919.9
NONMMUT011873.2,-439.1
NONMMUT085756.1,-454.2
NONMMUT011087.2,-169.8
NONMMUT011088.2,-96.1
NONMMUT085557.1,-163.8
NONMMUT085558.1,-277.6
NONMMUT141037.1,-157.6
NONMMUT068914.2,-172.1
NONMMUT068915.2,-227.7
NONMMUT068916.2,-213
NONMMUT134254.1,-411.6
NONMMUT063343.2,-162.8
NONMMUT063344.2,-97.9
NONMMUT063345.2,-72.9
NONMMUT063346.2,-297
NONMMUT127677.1,-158.6
NONMMUT025528.2,-171
NONMMUT025529.2,-225.9
NONMMUT025530.2,-89.1
NONMMUT025531.2,-61.3
NONMMUT097991.1,-105.4
NONMMUT097992.1,-315
NONMMUT097993.1,-370.7
NONMMUT049698.2,-653.3
NONMMUT049699.2,-1798.3
NONMMUT049700.2,-986.3
NONMMUT049702.2,-455.6
NONMMUT049703.2,-639.2
NONMMUT115674.1,-154.7
NONMMUT115675.1,-310.2
NONMMUT148218.1,-719.5
NONMMUT062829.2,-147.1
NONMMUT127524.1,-71.5
NONMMUT007680.2,-736.54
NONMMUT007681.2,-733.4
NONMMUT007682.2,-150
NONMMUT007683.2,-488.3
NONMMUT007684.2,-775.9
NONMMUT007685.2,-145.94
NONMMUT081110.1,-809.1
NONMMUT063296.2,-106.2
NONMMUT063297.2,-209.1
NONMMUT063298.2,-206.8
NONMMUT009989.2,-443.4
NONMMUT009990.2,-205.3
NONMMUT009991.2,-367.6
NONMMUT085293.1,-696.5
NONMMUT007400.2,-217.9
NONMMUT007401.2,-277.9
NONMMUT007402.2,-96.1
NONMMUT007403.2,-281.2
NONMMUT007404.2,-73.1
NONMMUT007405.2,-211
NONMMUT007406.2,-150.8
NONMMUT080949.1,-517
NONMMUT080950.1,-760.8
NONMMUT080951.1,-97.7
NONMMUT058099.2,-110.7
NONMMUT058100.2,-134.2
NONMMUT058101.2,-124.9
NONMMUT124135.1,-110.7
NONMMUT124136.1,-335.6
NONMMUT027133.2,-150.6
NONMMUT027134.2,-135.8
NONMMUT027135.2,-190.1
NONMMUT027137.2,-130.6
NONMMUT027138.2,-167.6
NONMMUT027139.2,-102.8
NONMMUT044761.2,-54
NONMMUT113831.1,-54.4
NONMMUT062511.2,-219.2
NONMMUT125523.1,-286.8
NONMMUT125524.1,-82.2
NONMMUT037887.2,-97.8
NONMMUT037888.2,-589.8
NONMMUT037889.2,-598.6
NONMMUT037890.2,-150.1
NONMMUT037891.2,-708.7
NONMMUT037892.2,-306.6
NONMMUT037893.2,-267.3
NONMMUT107286.1,-256.9
NONMMUT107287.1,-1134.8
NONMMUT013204.2,-310.4
NONMMUT013207.2,-349.3
NONMMUT013208.2,-480.6
NONMMUT013209.2,-287.2
NONMMUT013211.2,-247
NONMMUT013212.2,-654
NONMMUT056109.2,-293
NONMMUT023823.2,-299.7
NONMMUT095971.1,-200.4
NONMMUT095972.1,-402.8
NONMMUT095974.1,-199.4
NONMMUT015603.2,-202.7
NONMMUT087683.1,-210.8
NONMMUT087684.1,-357.5
NONMMUT010698.2,-235.7
NONMMUT083940.1,-272.5
NONMMUT083941.1,-239.5
NONMMUT140518.1,-346.6
NONMMUT016884.2,-230.9
NONMMUT016885.2,-242.9
NONMMUT016886.2,-151.3
NONMMUT016887.2,-138.2
NONMMUT016888.2,-264.9
NONMMUT016889.2,-264.1
NONMMUT016890.2,-185.8
NONMMUT016891.2,-176
NONMMUT016892.2,-949.6
NONMMUT016893.2,-491
NONMMUT016894.2,-587.7
NONMMUT091089.1,-682.7
NONMMUT091090.1,-829.3
NONMMUT062631.2,-423.4
NONMMUT151153.1,-325.1
NONMMUT151154.1,-327.3
NONMMUT039362.2,-2415.6
NONMMUT039363.2,-2470.8
NONMMUT146417.1,-1017.1
NONMMUT146418.1,-2149.4
NONMMUT146419.1,-745.4
NONMMUT146420.1,-751.3
NONMMUT146421.1,-2243.6
NONMMUT052062.2,-134.2
NONMMUT052063.2,-131.1
NONMMUT052518.2,-194.2
NONMMUT052519.2,-64.6
NONMMUT052520.2,-794.3
NONMMUT120605.1,-232
NONMMUT018448.2,-482.4
NONMMUT018449.2,-399.5
NONMMUT091799.1,-254.5
NONMMUT056073.2,-199.5
NONMMUT056074.2,-285.2
NONMMUT065055.2,-237.98
NONMMUT039068.2,-261
NONMMUT039069.2,-155.9
NONMMUT039070.2,-115.9
NONMMUT039072.2,-95.2
NONMMUT109510.1,-259.4
NONMMUT109511.1,-349.8
NONMMUT012639.2,-241.9
NONMMUT012640.2,-195.7
NONMMUT012641.2,-196.5
NONMMUT012642.2,-215.9
NONMMUT012643.2,-108.1
NONMMUT012644.2,-129.2
NONMMUT084585.1,-243.9
NONMMUT084586.1,-391.8
NONMMUT006562.2,-200.4
NONMMUT082294.1,-249.5
NONMMUT040006.2,-245
NONMMUT040007.2,-714.8
NONMMUT040008.2,-676.2
NONMMUT040009.2,-656.8
NONMMUT040010.2,-120.5
NONMMUT040011.2,-259.74
NONMMUT040012.2,-174.1
NONMMUT040013.2,-180.7
NONMMUT040014.2,-223
NONMMUT040015.2,-2311.17
NONMMUT107977.1,-1808.9
NONMMUT107978.1,-994.3
NONMMUT006554.2,-356.4
NONMMUT012224.2,-269.1
NONMMUT085824.1,-309.4
NONMMUT040537.2,-232.5
NONMMUT040538.2,-200.1
NONMMUT109973.1,-450.3
NONMMUT109974.1,-86.1
NONMMUT029580.2,-186.6
NONMMUT004397.2,-205.9
NONMMUT004398.2,-277.3
NONMMUT004399.2,-263.7
NONMMUT004400.2,-286.4
NONMMUT004401.2,-226.6
NONMMUT079600.1,-73.2
NONMMUT079601.1,-433.3
NONMMUT079602.1,-1401.2
NONMMUT079603.1,-519.7
NONMMUT034857.2,-300.64
NONMMUT041439.2,-341.4
NONMMUT108457.1,-350.5
NONMMUT049428.2,-99.1
NONMMUT115569.1,-99.5
NONMMUT047423.2,-1562.6
NONMMUT047424.2,-1632.4
NONMMUT047425.2,-1415.5
NONMMUT047426.2,-1646.3
NONMMUT047427.2,-1568.3
NONMMUT116745.1,-1493.8
NONMMUT116746.1,-1278.8
NONMMUT008599.2,-309.9
NONMMUT008600.2,-252.2
NONMMUT008601.2,-79.2
NONMMUT008603.2,-247
NONMMUT008604.2,-355.3
NONMMUT083140.1,-437.6
NONMMUT050734.2,-188.7
NONMMUT050736.2,-186.4
NONMMUT050737.2,-476.5
NONMMUT117781.1,-191.3
NONMMUT117782.1,-224.9
NONMMUT065019.2,-126.9
NONMMUT065021.2,-111
NONMMUT065023.2,-106.1
NONMMUT065024.2,-54.3
NONMMUT152062.1,-123.9
NONMMUT048543.2,-114.2
NONMMUT048544.2,-140.4
NONMMUT048545.2,-124.2
NONMMUT048547.2,-164.2
NONMMUT048548.2,-150.2
NONMMUT048549.2,-120
NONMMUT009930.2,-306.5
NONMMUT083725.1,-312.3
NONMMUT059547.2,-270.2
NONMMUT059548.2,-169.8
NONMMUT059549.2,-190.9
NONMMUT059550.2,-190.9
NONMMUT059551.2,-169.9
NONMMUT123341.1,-323.5
NONMMUT028805.2,-150.8
NONMMUT010590.2,-1046.7
NONMMUT010591.2,-518.1
NONMMUT010592.2,-516.1
NONMMUT083927.1,-612.7
NONMMUT035043.2,-757
NONMMUT035044.2,-173.8
NONMMUT035045.2,-224.9
NONMMUT035046.2,-726.3
NONMMUT035047.2,-751.9
NONMMUT105643.1,-870
NONMMUT105644.1,-790
NONMMUT039273.2,-130.3
NONMMUT039274.2,-116.5
NONMMUT107778.1,-240.2
NONMMUT025666.2,-327.3
NONMMUT098051.1,-327.3
NONMMUT049351.2,-183.9
NONMMUT049352.2,-143.3
NONMMUT049353.2,-64.9
NONMMUT049354.2,-122.6
NONMMUT049355.2,-309.8
NONMMUT049356.2,-106.8
NONMMUT117251.1,-127.7
NONMMUT117252.1,-680.9
NONMMUT037239.2,-94.9
NONMMUT037240.2,-145.2
NONMMUT037241.2,-90.1
NONMMUT037242.2,-109.3
NONMMUT109059.1,-197.9
NONMMUT007463.2,-533.3
NONMMUT007464.2,-485.8
NONMMUT081019.1,-548.4
NONMMUT060141.2,-111.8
NONMMUT124772.1,-212.1
NONMMUT047302.2,-334.7
NONMMUT008894.2,-114.5
NONMMUT008895.2,-231
NONMMUT008896.2,-139.6
NONMMUT008897.2,-90.9
NONMMUT008898.2,-108.6
NONMMUT083321.1,-289.7
NONMMUT083322.1,-299.1
NONMMUT028837.2,-498.9
NONMMUT028838.2,-437.6
NONMMUT028839.2,-256.1
NONMMUT101933.1,-356.5
NONMMUT010412.2,-1465
NONMMUT010413.2,-1133.7
NONMMUT046846.2,-952.9
NONMMUT046847.2,-944.74
NONMMUT046850.2,-545.5
NONMMUT114841.1,-239
NONMMUT114842.1,-546.4
NONMMUT052700.2,-92.2
NONMMUT118597.1,-92.4
NONMMUT029725.2,-699.4
NONMMUT029726.2,-699.7
NONMMUT029727.2,-260.9
NONMMUT029728.2,-848.3
NONMMUT029729.2,-472.7
NONMMUT029730.2,-154.9
NONMMUT029731.2,-146.7
NONMMUT102122.1,-811.5
NONMMUT059465.2,-108.2
NONMMUT049557.2,-902.7
NONMMUT049558.2,-304.3
NONMMUT049559.2,-310.6
NONMMUT049560.2,-365.3
NONMMUT049561.2,-347
NONMMUT049562.2,-322
NONMMUT115618.1,-93.4
NONMMUT148208.1,-319.2
NONMMUT148209.1,-582.9
NONMMUT148210.1,-613.7
NONMMUT035405.2,-133.7
NONMMUT035406.2,-138.7
NONMMUT035407.2,-354.2
NONMMUT035408.2,-356.3
NONMMUT108626.1,-870.2
NONMMUT061313.2,-118.6
NONMMUT061314.2,-118.8
NONMMUT061315.2,-137.8
NONMMUT126826.1,-368.4
NONMMUT126827.1,-367.6
NONMMUT066938.2,-131.9
NONMMUT066939.2,-561.3
NONMMUT129310.1,-782.1
NONMMUT152376.1,-1120.1
NONMMUT068283.2,-259.4
NONMMUT132121.1,-304.82
NONMMUT054581.2,-208.3
NONMMUT054582.2,-161
NONMMUT054583.2,-175.4
NONMMUT054584.2,-228.9
NONMMUT054585.2,-85.2
NONMMUT054586.2,-89.2
NONMMUT121416.1,-594.3
NONMMUT121417.1,-735.8
NONMMUT049595.2,-312.8
NONMMUT049596.2,-342.5
NONMMUT117325.1,-110.6
NONMMUT117326.1,-955.9
NONMMUT117327.1,-296.8
NONMMUT148690.1,-314.7
NONMMUT020204.2,-48.1
NONMMUT094201.1,-159.37
NONMMUT032654.2,-195.1
NONMMUT032655.2,-163.1
NONMMUT032656.2,-162.2
NONMMUT032657.2,-75.2
NONMMUT032658.2,-86.2
NONMMUT032659.2,-92.5
NONMMUT032660.2,-117.2
NONMMUT032662.2,-156.8
NONMMUT032663.2,-77
NONMMUT027874.2,-208.5
NONMMUT027875.2,-275
NONMMUT099333.1,-208.3
NONMMUT144478.1,-733.7
NONMMUT052737.2,-95.6
NONMMUT052738.2,-182.5
NONMMUT118611.1,-117.7
NONMMUT006245.2,-305.2
NONMMUT006246.2,-77.4
NONMMUT080428.1,-1017.6
NONMMUT050509.2,-462.5
NONMMUT050510.2,-198.3
NONMMUT050511.2,-255.8
NONMMUT044635.2,-236.3
NONMMUT044636.2,-477.9
NONMMUT063157.2,-632.3
NONMMUT125962.1,-632.3
NONMMUT125963.1,-813.5
NONMMUT056094.2,-416.6
NONMMUT056095.2,-256.4
NONMMUT056096.2,-265.6
NONMMUT056097.2,-213.5
NONMMUT121960.1,-619.7
NONMMUT050198.2,-206.2
NONMMUT117523.1,-672.7
NONMMUT018945.2,-157.1
NONMMUT018946.2,-200.4
NONMMUT069186.2,-249.6
NONMMUT134366.1,-309
NONMMUT037977.2,-136.6
NONMMUT037978.2,-72.5
NONMMUT037979.2,-335.5
NONMMUT037980.2,-239.4
NONMMUT037982.2,-467.4
NONMMUT011185.2,-119.8
NONMMUT011186.2,-124.5
NONMMUT085571.1,-103.7
NONMMUT068674.2,-213.7
NONMMUT068675.2,-293.9
NONMMUT072715.2,-284.4
NONMMUT137004.1,-66.6
NONMMUT137005.1,-120.3
NONMMUT052867.2,-233.6
NONMMUT052868.2,-86.5
NONMMUT120724.1,-869.6
NONMMUT052740.2,-193.1
NONMMUT052741.2,-249.6
NONMMUT118612.1,-249.6
NONMMUT033027.2,-545
NONMMUT033029.2,-224
NONMMUT104861.1,-882.7
NONMMUT046270.2,-106.4
NONMMUT116213.1,-121
NONMMUT116214.1,-117.5
NONMMUT021373.2,-311.3
NONMMUT021374.2,-178.8
NONMMUT021375.2,-216.2
NONMMUT021376.2,-312.4
NONMMUT021377.2,-253.6
NONMMUT021378.2,-193.1
NONMMUT021380.2,-137.8
NONMMUT049326.2,-193.4
NONMMUT049327.2,-744.6
NONMMUT049328.2,-673.1
NONMMUT117235.1,-198.1
NONMMUT050635.2,-535
NONMMUT050636.2,-631.2
NONMMUT050638.2,-107
NONMMUT115988.1,-237.4
NONMMUT115989.1,-107.9
NONMMUT046221.2,-342.8
NONMMUT046222.2,-390.91
NONMMUT046223.2,-535.6
NONMMUT046224.2,-326.11
NONMMUT046225.2,-1105.1
NONMMUT046226.2,-203.6
NONMMUT046227.2,-122
NONMMUT046230.2,-380.5
NONMMUT114653.1,-415.7
NONMMUT046151.2,-122.7
NONMMUT046153.2,-163.9
NONMMUT046154.2,-195.9
NONMMUT046155.2,-190.9
NONMMUT046156.2,-206
NONMMUT046157.2,-224.3
NONMMUT046158.2,-193.1
NONMMUT046159.2,-193.5
NONMMUT116165.1,-1043.3
NONMMUT116166.1,-755.8
NONMMUT049403.2,-185.3
NONMMUT065876.2,-63.4
NONMMUT065877.2,-198.1
NONMMUT065878.2,-199.7
NONMMUT065879.2,-164.3
NONMMUT128788.1,-307
NONMMUT067684.2,-294.2
NONMMUT131837.1,-294.2
NONMMUT025056.2,-201.8
NONMMUT025057.2,-499.6
NONMMUT096529.1,-492.3
NONMMUT036292.2,-222.5
NONMMUT024577.2,-1680.3
NONMMUT024578.2,-850.8
NONMMUT024579.2,-442.7
NONMMUT024580.2,-219.5
NONMMUT024581.2,-456.6
NONMMUT024582.2,-517.1
NONMMUT024583.2,-84.5
NONMMUT144158.1,-366.3
NONMMUT144159.1,-1111.1
NONMMUT144160.1,-836.5
NONMMUT144161.1,-502.2
NONMMUT144162.1,-456.7
NONMMUT144163.1,-295.7
NONMMUT062152.2,-451.4
NONMMUT062154.2,-1554.4
NONMMUT062156.2,-255.6
NONMMUT062157.2,-151.5
NONMMUT062158.2,-222.9
NONMMUT062159.2,-662.52
NONMMUT062160.2,-84.6
NONMMUT062162.2,-117.9
NONMMUT062163.2,-43.9
NONMMUT127307.1,-238.8
NONMMUT127308.1,-156.6
NONMMUT127309.1,-82.1
NONMMUT127310.1,-168.9
NONMMUT127311.1,-259.4
NONMMUT056353.2,-797.71
NONMMUT050172.2,-161.3
NONMMUT035922.2,-160.6
NONMMUT108764.1,-158
NONMMUT055368.2,-135.3
NONMMUT055369.2,-520.3
NONMMUT055370.2,-4525.9
NONMMUT055372.2,-407
NONMMUT055375.2,-162.1
NONMMUT055377.2,-227.5
NONMMUT055382.2,-1206.2
NONMMUT055386.2,-694.7
NONMMUT121671.1,-1038.8
NONMMUT121672.1,-1208.2
NONMMUT019858.2,-257.7
NONMMUT019859.2,-285.1
NONMMUT019860.2,-439.8
NONMMUT019861.2,-137.9
NONMMUT019862.2,-229.5
NONMMUT019863.2,-132.7
NONMMUT019864.2,-744.5
NONMMUT092504.1,-593.7
NONMMUT009892.2,-226.3
NONMMUT009893.2,-233.5
NONMMUT009894.2,-169.2
NONMMUT009895.2,-173.9
NONMMUT009897.2,-109.3
NONMMUT009898.2,-100.6
NONMMUT085264.1,-310.2
NONMMUT054807.2,-900.1
NONMMUT054808.2,-638.8
NONMMUT054809.2,-235.6
NONMMUT059461.2,-200.1
NONMMUT123304.1,-203.7
NONMMUT071709.2,-252.6
NONMMUT071710.2,-253.6
NONMMUT071711.2,-366.1
NONMMUT071712.2,-187.9
NONMMUT136674.1,-503.8
NONMMUT032080.2,-153
NONMMUT103390.1,-150.4
NONMMUT074434.2,-150.2
NONMMUT074438.2,-122.1
NONMMUT055299.2,-463.5
NONMMUT055300.2,-272.1
NONMMUT149809.1,-191.2
NONMMUT006488.2,-197.4
NONMMUT051983.2,-413.3
NONMMUT051984.2,-532.2
NONMMUT051985.2,-710.6
NONMMUT051986.2,-564.6
NONMMUT051987.2,-233.3
NONMMUT120229.1,-743.3
NONMMUT120230.1,-762.4
NONMMUT056165.2,-1974.2
NONMMUT056166.2,-1841.2
NONMMUT056167.2,-341.7
NONMMUT056168.2,-247.9
NONMMUT056169.2,-283.5
NONMMUT056170.2,-223.3
NONMMUT056171.2,-212.4
NONMMUT056172.2,-515.3
NONMMUT056173.2,-600.9
NONMMUT056174.2,-630.9
NONMMUT056175.2,-527
NONMMUT056176.2,-167.1
NONMMUT056177.2,-1642.8
NONMMUT056178.2,-346
NONMMUT056179.2,-615.4
NONMMUT056180.2,-612.9
NONMMUT056181.2,-560
NONMMUT056182.2,-205.7
NONMMUT056183.2,-161.2
NONMMUT056184.2,-157.4
NONMMUT056185.2,-158.1
NONMMUT056187.2,-448.7
NONMMUT056188.2,-194.7
NONMMUT056190.2,-150.6
NONMMUT056191.2,-132.3
NONMMUT056192.2,-110.8
NONMMUT056193.2,-179.7
NONMMUT056194.2,-491
NONMMUT056195.2,-450.4
NONMMUT056196.2,-820.8
NONMMUT056197.2,-335.1
NONMMUT056198.2,-104
NONMMUT056199.2,-431.6
NONMMUT056200.2,-84.9
NONMMUT056201.2,-263.8
NONMMUT056202.2,-435.7
NONMMUT121977.1,-508.2
NONMMUT149900.1,-178.3
NONMMUT149901.1,-1799.8
NONMMUT149902.1,-1699.6
NONMMUT149903.1,-1669.1
NONMMUT149904.1,-1760.7
NONMMUT149905.1,-1685.9
NONMMUT149906.1,-1824.8
NONMMUT149907.1,-2111.5
NONMMUT149908.1,-1938.8
NONMMUT004057.2,-183.7
NONMMUT079431.1,-183.7
NONMMUT045974.2,-222.8
NONMMUT114533.1,-221.8
NONMMUT005851.2,-163.2
NONMMUT005852.2,-404.4
NONMMUT005853.2,-93.1
NONMMUT005854.2,-570.6
NONMMUT080269.1,-526.4
NONMMUT080270.1,-799.7
NONMMUT040649.2,-422.4
NONMMUT063263.2,-90.4
NONMMUT063264.2,-95.2
NONMMUT063265.2,-434.9
NONMMUT063267.2,-499.7
NONMMUT127643.1,-1760.2
NONMMUT127646.1,-196.9
NONMMUT127647.1,-361
NONMMUT001161.2,-96.9
NONMMUT050201.2,-105.2
NONMMUT115799.1,-105.2
NONMMUT052860.2,-111.6
NONMMUT021060.2,-581.7
NONMMUT094429.1,-582.2
NONMMUT062529.2,-216.9
NONMMUT125533.1,-351.2
NONMMUT006462.2,-388.4
NONMMUT006463.2,-393
NONMMUT006464.2,-1089.1
NONMMUT006465.2,-1462.6
NONMMUT080493.1,-1551.4
NONMMUT009947.2,-1065.8
NONMMUT009948.2,-68.3
NONMMUT009950.2,-445.5
NONMMUT085276.1,-1065.8
NONMMUT010283.2,-880.4
NONMMUT010284.2,-828.5
NONMMUT085366.1,-934.5
NONMMUT071138.2,-102.8
NONMMUT133561.1,-67.9
NONMMUT061005.2,-984.1
NONMMUT061007.2,-102.8
NONMMUT061008.2,-747.3
NONMMUT061010.2,-265.7
NONMMUT061017.2,-515.2
NONMMUT011806.2,-172.3
NONMMUT011807.2,-200.2
NONMMUT084316.1,-196.6
NONMMUT084317.1,-423
NONMMUT084318.1,-386.9
NONMMUT140631.1,-188.4
NONMMUT140632.1,-623.7
NONMMUT140633.1,-534.3
NONMMUT045664.2,-134.9
NONMMUT012196.2,-358.9
NONMMUT085816.1,-358.6
NONMMUT031876.2,-191.1
NONMMUT031877.2,-137.2
NONMMUT031878.2,-174.1
NONMMUT031879.2,-156.8
NONMMUT031880.2,-130.2
NONMMUT103275.1,-195.3
NONMMUT010161.2,-165
NONMMUT010162.2,-448.1
NONMMUT083788.1,-165
NONMMUT013627.2,-207
NONMMUT044519.2,-209.8
NONMMUT113739.1,-220.4
NONMMUT034207.2,-171.2
NONMMUT105324.1,-169.7
NONMMUT046691.2,-457.7
NONMMUT046692.2,-301.8
NONMMUT148448.1,-338.4
NONMMUT069277.2,-652.9
NONMMUT069279.2,-154.4
NONMMUT069280.2,-351.1
NONMMUT134395.1,-784.3
NONMMUT153747.1,-629.3
NONMMUT054108.2,-1006.8
NONMMUT119272.1,-1376.7
NONMMUT033721.2,-297.3
NONMMUT040572.2,-498.6
NONMMUT040573.2,-499.8
NONMMUT040574.2,-103.9
NONMMUT040576.2,-327.5
NONMMUT109986.1,-624.3
NONMMUT050941.2,-378.9
NONMMUT000732.2,-556.3
NONMMUT000734.2,-173.8
NONMMUT000735.2,-157
NONMMUT000736.2,-131.3
NONMMUT000737.2,-149.9
NONMMUT000738.2,-172.4
NONMMUT000741.2,-517.1
NONMMUT077691.1,-2252.1
NONMMUT077702.1,-133.4
NONMMUT028662.2,-74.1
NONMMUT028663.2,-119
NONMMUT100818.1,-113.3
NONMMUT008804.2,-431.7
NONMMUT011242.2,-858.5
NONMMUT011243.2,-731
NONMMUT011244.2,-211
NONMMUT085584.1,-912.4
NONMMUT085585.1,-286.5
NONMMUT049437.2,-1186.2
NONMMUT049438.2,-1050.2
NONMMUT049439.2,-1016.4
