lncRNA,score
RN7SL476P,0.082017766
RN7SL502P,0.082405081
NONHSAG054423,0.082671401
NONHSAG029598,0.082685201
REG1P,0.082889156
NONHSAG038387,0.08330908
ZNF91,0.083416201
NONHSAG042537,0.083518497
RP11-143J12.3,0.083717105
RP11-84N7.1,0.083744552
NONHSAG033291,0.083905283
RP3-443C4.2,0.083940658
NONHSAG016439,0.083990964
RP11-755B10.2,0.084128115
NONHSAG047674,0.084131929
AC073284.4,0.084137249
NONHSAG019774,0.084306302
NONHSAG005761,0.084363442
RN7SL741P,0.084525137
CTA-363E6.7,0.084599973
NONHSAG007932,0.084871109
NONHSAG030865,0.084902639
AC009238.8,0.085449439
NONHSAG026463,0.085450595
AC026806.2,0.085725554
NONHSAG048262,0.086094394
NONHSAG022419,0.086859469
ZNF847P,0.086895746
RN7SL744P,0.086950224
AC009237.16,0.086950312
RP11-764I5.1,0.087117216
RN7SKP130,0.087378237
NONHSAG052452,0.087430654
NONHSAG040962,0.087890146
NONHSAG025679,0.088329034
RN7SL371P,0.088484292
VN1R71P,0.08888955
RP4-633I8.3,0.088894209
RN7SL681P,0.089060216
NONHSAG039270,0.089339802
RP11-752P2.2,0.089948253
RP3-417O22.3,0.089950863
RP11-883G14.3,0.090006189
RP11-728D14.6,0.090065989
NONHSAG038817,0.090156512
RN7SKP296,0.090162693
CTD-2231E14.5,0.09027544
NONHSAG013329,0.09030694
RP1-39G22.4,0.090322554
SLC25A18P1,0.09034585
RN7SL635P,0.090469063
NONHSAG017890,0.09088663
RP1-41C23.1,0.091018706
NONHSAG000994,0.091397102
RP11-434J24.2,0.091467255
RP11-395G17.1,0.091935934
NONHSAG035824,0.092028118
AC016716.1,0.092052583
RN7SL621P,0.092139317
RN7SL552P,0.092188893
PPP2R5A,0.092261596
RP11-5N11.1,0.092528371
RN7SL264P,0.09255568
RP11-263C24.3,0.092564463
NONHSAG052508,0.092697
RP4-548D19.3,0.092706873
NONHSAG038886,0.092837751
NONHSAG016286,0.092867267
RPI002_003125,0.093028769
RP3-419C19.3,0.093195315
RP11-563N6.6,0.093232241
RP11-849H4.4,0.093324837
RP11-22C11.1,0.093534232
NONHSAG037070,0.093702852
LL22NC03-84E4.8,0.093705455
CTD-2302E22.2,0.094002705
RP11-342L8.2,0.094004398
CTD-2382E5.2,0.094028471
ZMYM1,0.094140839
RN7SL568P,0.094164653
RP5-1163L11.3,0.094287192
RP5-1136G2.1,0.094311026
TRAV37,0.094531852
CTD-2331H12.5,0.094548123
NONHSAG035826,0.094556147
NONHSAG005473,0.094581538
NONHSAG028126,0.094671441
RN7SL735P,0.094724256
MTND1P21,0.094732214
RN7SL40P,0.094859222
RP11-171L9.1,0.094943234
AC006150.1,0.095031198
RPI002_006888,0.095072838
RP11-146G7.2,0.095277647
RP11-413M3.4,0.095321103
NONHSAG039829,0.09553257
RN7SL323P,0.095704742
RP11-432F4.2,0.095787112
RP11-672F9.1,0.095994696
NONHSAG038564,0.095997322
UBE2Q2P5Y,0.096561068
RP11-612B6.1,0.096878614
NONHSAG035830,0.097062458
RN7SL312P,0.097139663
NONHSAG025622,0.097165413
RPI002_001053,0.097199377
RN7SL143P,0.097221375
RP11-475C16.2,0.097390984
NONHSAG044238,0.097568205
RP11-490K7.4,0.097575133
RP5-1173A5.1,0.097748138
RP11-192H23.5,0.09775943
NONHSAG008159,0.097889103
NONHSAG032188,0.097921395
AC004535.2,0.097926048
NONHSAG051217,0.097943248
RP11-89C3.1,0.097975992
RN7SKP99,0.097997317
CDH23-AS1,0.09817447
RP11-600L4.1,0.098264499
RN7SL481P,0.098575278
NONHSAG000157,0.098619941
CTA-268H5.12,0.098821977
CTB-85P21.1,0.098836274
NONHSAG044992,0.098865342
NONHSAG036796,0.098923748
RN7SL173P,0.099082286
RN7SL308P,0.099090475
SNRPEP6,0.099102132
NONHSAG000265,0.09911305
NONHSAG028641,0.099116492
NONHSAG013100,0.099195539
CASP8,0.09919916
NONHSAG055552,0.099204678
NONHSAG012896,0.099274657
VWC2L-IT1,0.099288841
RP11-640N20.9,0.099317827
RN7SL554P,0.099489566
RP11-247A12.1,0.099570699
RP11-137D19.1,0.099620252
KCNJ1,0.099651995
RP11-168P6.2,0.099842271
RP11-4M23.3,0.099870528
NONHSAG028176,0.100015948
RN7SL65P,0.100100058
RN7SL448P,0.100150447
NONHSAG013197,0.100188762
RP11-423H2.5,0.10021644
OR9A1P,0.100264912
CTB-187M2.1,0.100326796
NONHSAG010277,0.100478533
NONHSAG047595,0.100478648
NONHSAG048177,0.100483714
EEF1A1P39,0.100564077
NONHSAG034932,0.100773477
RN7SL68P,0.100907548
AK2,0.101005742
NONHSAG010285,0.101042507
RP11-522L3.3,0.10123147
RP3-339A18.6,0.101256647
NONHSAG002487,0.10144828
RP11-465L8.1,0.101626465
NONHSAG017425,0.101658669
IGKV3-34,0.101783325
NONHSAG030190,0.101875303
RN7SL622P,0.101965435
FTH1P15,0.101984513
RP11-843A23.1,0.10213558
NONHSAG007225,0.10225
MED25,0.102278117
NONHSAG035097,0.102500298
RP11-792A8.3,0.102526184
DIP2A-IT1,0.102530076
MRPL51P2,0.102530076
RN7SKP59,0.102584162
NONHSAG021027,0.102696037
RP11-318K15.2,0.102793911
NONHSAG027034,0.102882158
NONHSAG003881,0.102884222
RN7SL96P,0.102949772
RP11-421B23.1,0.103272106
RP11-195E2.4,0.103308326
RP11-510D21.1,0.103328328
RP1-265C24.5,0.103338867
RN7SL732P,0.103392378
NONHSAG015983,0.10340911
RP11-344P13.4,0.103663199
NONHSAG025966,0.103694414
NONHSAG026774,0.103788361
RP11-510I5.4,0.103824363
RP11-142J21.2,0.103907433
ITCH-AS1,0.104022662
NONHSAG002726,0.104040343
OR7E13P,0.104044292
NONHSAG040593,0.104068089
NONHSAG030317,0.104256726
AC132008.1,0.104276077
RN7SL408P,0.104423615
AC007064.24,0.10443447
RPI002_000408,0.104546596
0R7H2P,0.104661293
NONHSAG042404,0.104847756
PRSS16,0.104924926
RPS15AP16,0.104939587
NONHSAG054353,0.105090693
NONHSAG003227,0.105184341
RP1-32B1.4,0.105193137
RPI002_004391,0.105195109
NONHSAG036932,0.105257099
NONHSAG023981,0.105335281
RN7SL362P,0.105471394
GS1-388B5.2,0.105560104
RP11-100L22.3,0.105626357
RP11-303E16.6,0.105675667
RPI002_006097,0.105699013
RP5-1170K4.7,0.105733286
RP11-110I1.11,0.105800288
NONHSAG002403,0.105936332
RP11-763B22.6,0.105969618
LINC00686,0.105975602
RPI002_004968,0.106046231
HTR2C-IT1,0.106119274
AC009951.2,0.106212423
NONHSAG010638,0.106220329
NONHSAG001014,0.106448423
OR4F8P,0.106469658
LINC00279,0.106518451
RP11-370I10.2,0.106659903
RP11-65J21.4,0.106666306
RN7SL632P,0.106916869
RP4-550H1.5,0.106920994
AC008592.7,0.106959656
CTC-229L21.1,0.107012223
RP4-594L9.2,0.10703102
CTA-125H2.1,0.107148842
NONHSAG051925,0.107195995
RPI002_002355,0.107258627
RN7SL589P,0.107278004
NONHSAG045199,0.107278283
NONHSAG042274,0.107387533
RP11-722E23.2,0.107397437
RP11-113K21.1,0.107450404
NONHSAG052596,0.107463369
RP11-512N4.2,0.107643675
NONHSAG002380,0.10766752
NONHSAG048454,0.107668324
NONHSAG001258,0.107684816
GS1-39E22.2,0.10771962
NONHSAG031886,0.107871055
RP11-196I18.4,0.107920886
CTD-3023L14.3,0.107926903
RP11-357J22.1,0.107992812
RP11-65N13.6,0.108025716
GAPDHP56,0.108059876
RP11-356B19.11,0.108092044
NONHSAG009084,0.108095053
CTC-304I17.2,0.108137044
RP11-619L12.3,0.108146551
NONHSAG023423,0.108177509
FBXO9,0.108269787
AC139103.1,0.108306533
CTD-2244F11.2,0.108321671
AC013480.2,0.10832978
RP11-332E19.1,0.108427819
NONHSAG037174,0.108435033
RP11-729I10.2,0.108449059
NONHSAG012842,0.108687725
NONHSAG044170,0.108712025
RP11-275O4.3,0.108729649
AC019068.2,0.108751886
THPO,0.108851197
NONHSAG046966,0.10885175
NONHSAG015886,0.10887288
NONHSAG020357,0.108950663
RP4-591L5.2,0.108974246
RPL9P28,0.109064038
NONHSAG053578,0.109102473
RP11-16O9.2,0.109269686
DUXAP1,0.109278179
RP4-791M13.5,0.109400781
RN7SKP270,0.109449291
RN7SL20P,0.109494829
RP11-474L23.3,0.109611447
RN7SL237P,0.109623776
NONHSAG052895,0.109694985
RN7SL255P,0.109778365
NONHSAG040373,0.109875907
RN7SL11P,0.109935158
C14orf2,0.109943737
NONHSAG053203,0.110097478
RP11-627G18.4,0.110148754
RPI002_001968,0.110166854
RPI002_003685,0.110259188
STARD5,0.110322895
RPI002_006883,0.110352023
RP11-755O11.2,0.110440093
RP11-542G1.1,0.110503881
RP11-7O20.4,0.110552517
RP11-147K6.2,0.110588505
RP11-305K5.1,0.110639202
RP5-1028L10.2,0.110700681
RP3-337O18.9,0.110701526
DGKD,0.110912932
VN1R40P,0.1109361
CTD-3096M3.1,0.110938029
RN7SKP188,0.111155469
RN7SL67P,0.111395637
NONHSAG004667,0.111399192
RP11-326C3.10,0.111439232
NONHSAG050075,0.111678966
RP11-556H2.2,0.111788692
RN7SL813P,0.111846412
NONHSAG026436,0.111906429
NONHSAG047407,0.111949407
GAPDHP47,0.111953913
RN7SL812P,0.111990695
CTD-2363C16.2,0.112160737
RP11-435O5.6,0.112175152
NONHSAG013464,0.112188304
RP1-29G21.1,0.112303667
KB-1205A7.2,0.112309725
NONHSAG040069,0.112326756
HLA-DQB1-AS1,0.112351139
NONHSAG040404,0.112467754
NONHSAG053566,0.112513786
RN7SKP105,0.112616264
NONHSAG049949,0.112620984
KCNJ6-IT1,0.112773217
MCCC1-AS1,0.112829874
NONHSAG027105,0.112902469
NONHSAG028185,0.112953215
RPI002_001961,0.112968043
SC22CB-1D7.1,0.112987226
RP4-560B9.6,0.113048387
NONHSAG042055,0.113064998
RN7SL473P,0.113121434
AL137059.1,0.113198817
VN1R8P,0.113233376
NONHSAG025418,0.113234664
RN7SL94P,0.113235144
RP11-444D13.1,0.113238512
NONHSAG048050,0.113274509
RP4-800M22.4,0.113312764
RN7SL555P,0.113379082
RN7SL862P,0.113478234
NONHSAG037675,0.113582214
NONHSAG005262,0.113620455
NONHSAG027707,0.113717114
CTD-2154B17.1,0.113768817
VN1R69P,0.113804204
VN1R80P,0.113993636
RN7SL302P,0.113996801
NONHSAG012639,0.114067694
RPI002_007150,0.114183698
ATP5J2P6,0.114270621
RN7SL872P,0.114289084
RP11-554E23.3,0.114404477
RP11-419J16.1,0.114408952
RPI002_002588,0.114477627
RP11-457D2.3,0.114563084
RP11-354A14.1,0.114715802
NONHSAG034052,0.114859406
NONHSAG043294,0.114889698
AC007950.1,0.114953572
RPS23P6,0.114956336
RP11-619L19.1,0.114974024
PRELID2P1,0.114985534
RN7SL740P,0.115041251
RN7SL526P,0.115053101
RP11-433M22.1,0.115087587
RP6-127F18.2,0.115122786
RP11-444C12.1,0.115172995
NONHSAG002181,0.11517392
RNU2-10P,0.115345459
AC104777.1,0.115465572
RPI002_006251,0.115500448
CEACAMP6,0.115528269
RP11-443N24.3,0.115532031
RPI002_002390,0.115549546
NONHSAG028642,0.115577355
RP11-91K8.4,0.115649261
RP11-813B8.1,0.115681912
NONHSAG043134,0.115729381
RP11-567C20.3,0.115750473
RN7SL665P,0.11578576
CTD-2201E9.2,0.115826573
AC007395.3,0.115831347
RP4-614C15.2,0.115839977
AC011524.3,0.115913743
NONHSAG015005,0.115919068
DEFA9P,0.116019633
USF1P1,0.116035245
RP11-618K13.2,0.1160412
RN7SL509P,0.116047492
NONHSAG016878,0.116071047
RN7SL325P,0.116105763
SMCR2,0.116120139
NONHSAG038026,0.116122469
NONHSAG052141,0.116143901
LRRC8C,0.1161767
NONHSAG002794,0.116296467
SOD2P1,0.116480753
RP11-184A2.2,0.11660387
RP11-862P13.1,0.116617878
PLCB2-AS1,0.116669863
NONHSAG006479,0.116729268
RPS20P2,0.11675617
RP11-498P14.4,0.116808593
RP11-667K14.4,0.116837193
NONHSAG031782,0.116847988
IGKV2-10,0.117069881
NONHSAG029162,0.11721225
NONHSAG048502,0.117224071
RP11-143O10.1,0.117224798
NONHSAG003129,0.117263112
NONHSAG020383,0.117286754
RN7SKP197,0.117432649
RP11-248I9.2,0.117473164
RPI002_006142,0.117515277
NONHSAG007203,0.117528774
NONHSAG051018,0.117693028
NONHSAG053209,0.117804592
AC021021.2,0.117909132
RP11-795J1.2,0.117965616
RPL23AP12,0.118015603
RP5-1022J11.2,0.118153019
NONHSAG047178,0.118180519
RP11-46I1.2,0.118221624
RP11-778D9.9,0.118232382
NONHSAG032690,0.118405423
NONHSAG007726,0.11845524
RP11-421N10.1,0.118517062
RP11-524P6.1,0.118559227
RP11-235E17.5,0.118559525
NARF-IT1,0.118578176
AC093106.4,0.118627687
RP11-1096G20.5,0.118681607
DPRXP5,0.118730717
CTB-120L21.1,0.118844573
SNORA74,0.118869917
TAS2R63P,0.118970984
RP1-64K7.4,0.118980676
NONHSAG021313,0.118995247
NONHSAG040277,0.119084649
LINC00302,0.119105855
KCND3-IT1,0.119201728
AC104058.1,0.11935199
RN7SL230P,0.1194737
CTC-501O10.1,0.119478939
NONHSAG045370,0.119489512
RP11-632L2.1,0.119512257
RN7SL15P,0.119518696
AC063976.1,0.119543173
RN7SL138P,0.119724629
RP11-16C1.3,0.119736397
RP11-763K15.1,0.119764404
RP11-178L8.9,0.11976535
RP4-669P10.16,0.119847557
COMMD1,0.119869751
NONHSAG031245,0.119883669
NONHSAG033956,0.119901088
NONHSAG030543,0.120040612
RP11-534L20.5,0.120107912
NONHSAG054843,0.120155663
RP11-790I12.3,0.120164453
CLUHP5,0.12020716
RPI002_007738,0.120335741
RP1-267L14.3,0.120488112
RP11-91H12.3,0.120488833
RN7SL709P,0.120520139
RPI002_005797,0.120582809
RP4-730K3.3,0.120583841
RPI002_002530,0.120697239
RN7SL825P,0.120750443
RP11-567J24.4,0.120762532
RP5-1087E8.3,0.120766623
NONHSAG044382,0.120772004
RP11-529E10.6,0.120814698
AP001271.5,0.120840321
NONHSAG020874,0.120845484
RN7SL861P,0.120864275
NONHSAG030781,0.120942531
NONHSAG033758,0.120976066
MICD,0.121060805
CTD-2349P21.10,0.121186511
RP11-261P9.4,0.121273057
KLHL6-AS1,0.121345621
RN7SL13P,0.121466878
NONHSAG012559,0.121507249
RETNLB,0.121550028
NONHSAG002182,0.121574314
RP11-109N23.6,0.121657239
RP4-583K8.1,0.121664336
TAS2R64P,0.121679749
RN7SL815P,0.121679805
CTD-2619J13.16,0.121698132
NONHSAG028006,0.121742488
RP11-449D8.3,0.121755073
RP11-916L7.1,0.121755621
RP4-799P18.5,0.121851837
NONHSAG035867,0.121905261
RP11-523O18.7,0.121945254
RPI002_003158,0.121952568
NONHSAG039368,0.122001572
RP11-214J9.1,0.122175602
NONHSAG039906,0.122252076
DIO2,0.122256346
RP11-331H2.3,0.122297713
NONHSAG022528,0.12231031
RP11-249C24.10,0.122349436
AC092839.4,0.122351087
RP11-344N10.4,0.122407861
NONHSAG053050,0.122564536
AL022393.7,0.12258743
RN7SKP174,0.122658161
NONHSAG044572,0.122694492
RP11-22B10.3,0.122715085
RP11-295G12.1,0.122816503
RP11-186F10.2,0.122884004
RP11-627D16.1,0.122894749
RN7SL808P,0.122934447
RP11-176D17.3,0.12297762
NONHSAG039034,0.122981736
SNRPEP3,0.123018036
RN7SL145P,0.123038988
NONHSAG015324,0.123057305
RN7SKP6,0.123108541
NONHSAG025178,0.123170732
RP11-550I24.3,0.123206684
RP11-106E15.1,0.123249934
RP11-370P15.2,0.123365158
NONHSAG033630,0.123474754
NONHSAG041843,0.123531289
RP11-512G4.1,0.123625209
NONHSAG053067,0.123647111
RN7SL656P,0.12364746
RN7SL199P,0.12364746
RN7SKP104,0.12364966
RPI002_006822,0.123666383
CTD-3051D23.3,0.123834631
NONHSAG014872,0.123867763
DMD-AS3,0.123890263
RP11-431M7.2,0.123902837
RP11-137L10.5,0.123906731
NONHSAG047741,0.123934956
CEACAMP7,0.124078375
OR9P1P,0.12412437
RN7SL399P,0.124178108
RP11-93O14.2,0.124205818
AC011290.5,0.124319408
RPL12P9,0.124322561
RP11-554D14.7,0.124450441
NONHSAG042800,0.124470379
NONHSAG012589,0.124490659
RP11-270B14.1,0.124520852
RP11-255L13.1,0.124691199
RP11-646E18.2,0.124711977
NONHSAG053267,0.124904725
RP11-530I17.1,0.124957122
NASP,0.124960813
RP11-659P15.3,0.125021877
HNRNPKP3,0.125023163
IGKV1OR22-1,0.125028241
CTD-2525I3.3,0.125059305
RN7SL751P,0.125085343
NONHSAG009813,0.125096519
RP11-733C7.1,0.125101862
NONHSAG038919,0.125155231
RP11-882I15.1,0.125159417
NONHSAG014994,0.12516753
NONHSAG032299,0.12517175
CTD-2503O16.3,0.125201844
RPEP5,0.125217192
NONHSAG022701,0.125233728
RP1-200K18.1,0.125286839
RN7SL560P,0.1254051
RN7SL297P,0.125409909
AC005215.1,0.125429043
RP11-298O21.3,0.125437325
C3orf58,0.125470243
NONHSAG040521,0.125478331
RN7SL600P,0.1255323
RPI002_002249,0.125598683
AC007967.2,0.125627273
NONHSAG050886,0.125631582
RN7SL791P,0.125707327
STATH,0.125714134
RP11-278L15.2,0.125734361
FUNDC2P3,0.125739242
RP11-4C20.4,0.125815182
NONHSAG051629,0.125847964
NONHSAG014280,0.125848985
NONHSAG042117,0.1258757
ITCH,0.125927582
RAB24,0.125991111
NONHSAG050483,0.126032066
NONHSAG008296,0.126083588
RPL31P20,0.126123693
RP1-56K13.2,0.126174151
RP11-190I17.2,0.126261971
RN7SL404P,0.126321912
PKMP4,0.126359949
RP11-363I22.3,0.126433278
RP11-321M21.3,0.126481797
NONHSAG051244,0.12648826
RP11-798M19.3,0.126499811
RP11-638L3.2,0.126516317
RP11-132N15.1,0.126535745
CTD-2014E2.6,0.126617846
NONHSAG040197,0.126664488
RP11-594C13.2,0.126706025
RP11-372M18.1,0.126753944
NONHSAG002526,0.126792542
AP000432.2,0.126845014
NONHSAG051760,0.126865545
NONHSAG013198,0.126919211
RP11-863P13.2,0.126936416
NONHSAG034742,0.126953543
PABPC1P3,0.126961244
NONHSAG018562,0.127044967
NONHSAG017859,0.127093642
NONHSAG026911,0.127123558
LRRC32,0.127127712
CTC-379B2.4,0.127153443
RPI002_004448,0.127274377
NONHSAG047199,0.127278842
AC018495.3,0.127280276
AP000857.3,0.127377199
RP1-128O3.4,0.127392153
AC002383.2,0.127495975
RPL30P15,0.127517892
RP11-312A15.1,0.127523706
RP11-98J9.3,0.127524307
NONHSAG011869,0.127528348
RP11-485B17.3,0.127729433
RP5-1039K5.16,0.127870668
NONHSAG016557,0.127975667
RN7SL671P,0.128080718
NONHSAG044724,0.12814583
RP11-27I1.6,0.128257651
RN7SL117P,0.128268318
AL589986.2,0.12828721
ARPP21-AS1,0.128292828
RP11-338E21.1,0.128315313
NXPE2P1,0.128319179
NONHSAG034828,0.128350736
RN7SL243P,0.128371471
RP3-425P12.2,0.128404646
NONHSAG023148,0.128443801
RPI002_007286,0.128491001
CTD-2383I20.1,0.128523361
CTD-3064H18.2,0.128702784
RP11-133N21.10,0.128777082
NONHSAG020057,0.128881073
RN7SL97P,0.128894633
NONHSAG003122,0.128909031
RP11-415C15.3,0.128914304
RN7SKP217,0.128932886
RP11-138C9.1,0.128956724
RP11-43D4.2,0.129012972
RP11-517C16.4,0.129015737
XXyac-YX155B6.6,0.129035715
RP11-195B17.1,0.129050632
RP11-529H2.1,0.129071374
RP11-380M21.4,0.129074606
NONHSAG028101,0.129085595
RP11-103H7.3,0.129138281
NONHSAG053231,0.129198595
CTD-2347I17.1,0.129272293
RP11-370I10.7,0.129294085
GS1-39E22.1,0.129324596
NONHSAG031332,0.129362292
NONHSAG038702,0.129514586
NONHSAG019495,0.129560313
NONHSAG027286,0.129573256
NONHSAG043563,0.129574258
RPI002_003823,0.129593168
NONHSAG048972,0.129604749
CTD-2113L7.1,0.129612241
RP11-525K10.2,0.129616163
NONHSAG018036,0.129647557
RP11-96A1.4,0.129685788
RP11-137J7.3,0.129746002
NONHSAG028640,0.129750668
LGI1,0.129790675
RN7SL395P,0.12983748
RN7SKP225,0.129860013
RP13-122B23.9,0.129861641
KIAA0196-AS1,0.129868555
AC008175.1,0.129893029
RP4-603I14.3,0.12989414
DUXAP7,0.129901104
NONHSAG052427,0.130006154
NONHSAG016464,0.130126237
NONHSAG002214,0.130144694
RP11-67H24.2,0.130152886
AC103563.7,0.130222206
AP001255.2,0.130249584
AC080094.1,0.130265438
ITM2BP1,0.130319521
OR4F1P,0.130325455
RP11-93K22.6,0.130417705
RP11-153N17.1,0.130423489
CTC-453G23.4,0.130448548
RPI002_002506,0.130475919
RP11-758I14.2,0.130553873
RP3-417L20.4,0.130567767
CDC23,0.130567788
NONHSAG039026,0.130569776
RP11-256K7.1,0.13066502
RP5-1006K12.1,0.130669082
RP11-344L13.2,0.130710577
RP11-388C12.5,0.130712556
AC005104.3,0.130777166
RP11-1166P10.8,0.130892533
NONHSAG048778,0.130900044
RPL29P7,0.130943599
AC112721.2,0.13104477
NONHSAG014361,0.131095056
RP11-820K3.4,0.131096634
AC078899.2,0.131111763
RPL23AP23,0.131188929
RN7SL535P,0.131290598
NONHSAG004087,0.131329226
AL132868.1,0.131337887
NONHSAG017582,0.131351461
NONHSAG017301,0.131365361
NONHSAG036252,0.131426878
NONHSAG042830,0.131455521
MRPL53P1,0.131575044
NONHSAG037720,0.1315922
RP11-35G22.1,0.131596061
NONHSAG050850,0.131603902
NONHSAG022060,0.131640719
CTC-400I9.2,0.131641945
RP11-702H23.6,0.131689035
AC005626.3,0.131769305
AC132807.1,0.131782946
RP11-152P17.1,0.131832936
RN7SKP222,0.131842365
FGFR3P1,0.131924617
RP5-1057I20.2,0.131958989
NONHSAG052058,0.131963173
CTD-2381F24.1,0.132025769
RP11-159H10.4,0.132026059
NONHSAG027979,0.132060263
RP3-511B24.6,0.132084175
RP11-654D12.3,0.13213108
RFESD,0.132265066
FAM106DP,0.132325399
RP11-676J12.8,0.132346607
RP11-402L1.11,0.132406286
CTD-3195I5.3,0.132587901
NONHSAG028987,0.13262649
NONHSAG055718,0.132638176
NONHSAG012469,0.132640106
NONHSAG039388,0.132702632
Z69720.2,0.132805661
TRAV8-5,0.132807161
NONHSAG038139,0.132815884
RP11-605F22.1,0.132866721
RP11-556I14.2,0.132892887
RP3-509I19.6,0.132928235
HCG23,0.133066674
U62631.5,0.133115975
RP11-358B23.5,0.133138714
NONHSAG023089,0.133145644
RP11-522L3.5,0.133176628
NONHSAG052147,0.133250521
NONHSAG053003,0.133256925
LINC00028,0.133319215
RPI002_006242,0.133327984
RP11-522L3.6,0.13335985
RP11-521L9.1,0.133424397
NONHSAG007488,0.133485721
RP5-919F19.5,0.133519621
GS1-200K5.1,0.133580292
TNR-IT1,0.133580828
CHURC1,0.133759664
RP5-1066H13.4,0.133780611
NONHSAG052002,0.133786116
RPL9P5,0.133795883
RP11-340C20.3,0.133801546
RP4-631H13.2,0.133808705
RP11-287J9.1,0.133828027
NONHSAG039850,0.133835042
RP1-240B8.3,0.133868751
RP11-809N8.6,0.133933568
ZNF611,0.134046298
SNORD17,0.134083163
RP11-266I3.7,0.134083936
RP11-17G11.1,0.13408553
NONHSAG037619,0.134131636
PSD4,0.134159997
NONHSAG021960,0.134174997
AC083864.3,0.134244764
RN7SL765P,0.134248829
NONHSAG047984,0.134305912
NONHSAG049572,0.134325709
NUP210P1,0.134346088
AGBL1-AS1,0.134393763
AC005772.2,0.134440713
NONHSAG041680,0.134457135
RPI002_003991,0.134460017
RN7SL864P,0.134485493
SCARNA6,0.134505373
AC006227.1,0.134552442
NONHSAG039904,0.134568157
RP11-494H4.3,0.134621344
NONHSAG035986,0.134636425
RP11-706F1.2,0.134662101
NONHSAG017512,0.134680255
RN7SL268P,0.134682736
NONHSAG024950,0.134688159
NONHSAG029051,0.134750219
NONHSAG039931,0.134776557
NONHSAG001616,0.13484706
AC114813.1,0.134858661
TAB3P1,0.134877918
EFCAB14-AS1,0.134908214
