0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
Braveheart,-3.167933,3.191320,2.289538,-2.058058,-3.004788,1.228299,-0.798478,-1.059291,0.214173,0.612029,2.374233,-0.468183,-2.819342,-2.516196,-1.637850,1.710325,1
mrhl,-0.266381,0.858932,-0.575055,0.237553,-0.089455,-0.433113,-0.418007,0.071082,-0.089509,-0.575539,0.944229,-0.221747,-0.053661,-0.410913,-0.327238,0.485083,1
NONMMUG034886,-0.277190,0.775055,-0.359132,-0.052725,-0.001639,-0.124079,-0.214908,-0.024163,0.138253,-0.066230,0.726260,-0.070551,-0.183166,-0.169504,-0.005921,-0.013745,1
Dlx6os1,-0.352018,0.913709,-0.592340,-0.048940,-0.306441,-0.393469,-0.283420,-0.718207,0.433813,0.731506,0.023545,0.249241,-1.848690,-1.024477,-0.132794,0.739786,1
5033428I22Rik,-0.659407,0.831736,-0.414041,-0.165011,-0.478507,-0.213380,-0.393739,-0.998951,0.582773,0.438674,0.104120,0.473054,-1.444820,-1.055139,-0.220045,0.774158,1
NONMMUG026355,-0.851225,0.003220,-0.335254,0.194045,0.028827,-0.061411,-0.502370,0.343504,0.023774,0.001027,1.393428,-0.533215,-0.570679,0.336818,-0.862365,0.699347,1
NONMMUG013851,-0.062125,0.506005,-0.058304,-0.326046,0.161484,0.093797,-0.742338,-0.031487,0.040261,0.523091,0.646430,0.106539,-0.428208,0.111708,0.104595,0.070600,0
NONMMUG008199,-0.393482,0.724116,-0.130578,-0.250595,-0.071066,-0.049530,-0.380606,-0.045396,-0.014426,-0.016281,0.609879,-0.153109,-0.452058,0.015851,0.084910,-0.129836,0
NONMMUG039825,0.014868,0.517273,-0.384910,-0.260338,-0.050709,-0.038016,-0.459640,-0.333892,0.060383,0.238980,0.823504,-0.172340,-0.310153,-0.044621,0.112246,0.079613,0
NONMMUG007120,0.007247,0.526103,-0.346810,-0.292505,-0.099199,-0.031043,-0.492609,-0.313146,-0.000532,0.263340,0.806287,-0.161800,-0.261916,-0.060448,0.113870,0.086385,0
NONMMUG038170,0.014330,0.501939,-0.388408,-0.276391,-0.047485,-0.018960,-0.454906,-0.295377,0.036967,0.237986,0.800383,-0.131114,-0.305402,-0.046295,0.147300,0.090911,0
NONMMUG036314,-0.246871,0.748370,-0.355669,-0.035812,0.037519,-0.172383,-0.222590,-0.024977,-0.005520,-0.122470,0.704346,-0.078782,-0.279969,-0.209812,0.047743,0.065965,0
NONMMUG021010,-0.251733,0.711428,-0.372249,-0.047502,-0.011947,-0.111109,-0.314685,-0.066340,0.099901,-0.075746,0.717437,-0.028118,-0.187154,-0.193910,0.036011,0.034315,0
NONMMUG031860,-0.245286,0.724185,-0.389326,-0.083465,-0.021417,-0.109220,-0.238410,-0.028072,0.027876,-0.029676,0.695405,-0.015803,-0.244273,-0.175740,0.034256,0.047056,0
NONMMUG010099,-0.271752,0.769842,-0.315224,-0.024615,-0.020217,-0.099626,-0.192800,-0.030105,0.072331,-0.058920,0.700676,-0.077777,-0.247528,-0.188111,0.066610,0.041973,0
NONMMUG044302,-0.252858,0.724232,-0.394959,0.014305,-0.064522,-0.167454,-0.266611,-0.061938,0.081686,-0.026263,0.706602,-0.047078,-0.246433,-0.156989,0.039436,0.017248,0
NONMMUG009173,-0.283619,0.738783,-0.385787,-0.050612,-0.001110,-0.174564,-0.251121,-0.029420,0.093069,-0.050935,0.719909,-0.065347,-0.200419,-0.169979,0.104654,-0.008145,0
NONMMUG020560,-0.255453,0.736132,-0.378533,0.020526,0.000228,-0.118729,-0.230192,0.003824,0.047524,-0.059409,0.734926,-0.033530,-0.142054,-0.210172,0.074392,-0.019206,0
NONMMUG002771,-0.261838,0.714529,-0.425373,-0.032842,0.006648,-0.129625,-0.272843,0.003547,0.082072,-0.068229,0.673795,-0.041527,-0.252058,-0.197802,0.060731,0.029546,0
NONMMUG043393,-0.364337,0.680122,-0.055074,-0.288966,0.065347,-0.216999,-0.260282,0.110179,-0.141819,0.070370,0.570332,-0.330711,-0.673932,0.012843,0.260923,-0.082587,0
NONMMUG031524,0.169788,0.296123,-0.466872,-0.368022,-0.168509,0.046830,-0.695626,-0.510393,0.106026,0.352047,0.884386,0.090884,-0.244692,0.036219,0.000188,0.043826,0
NONMMUG014034,-0.224424,0.982767,-0.190988,-0.005609,0.512668,-0.032127,-0.124380,0.321179,0.068121,0.411998,0.632810,0.002342,-0.121549,-0.166433,0.344950,0.223312,0
NONMMUG043843,-0.181167,0.623751,-0.419862,0.044055,-0.106582,-0.175702,-0.496278,-0.076284,0.170173,-0.026716,0.695094,0.224501,-0.187915,-0.123917,-0.179953,-0.087646,0
NONMMUG041948,-0.217674,0.576764,-0.463964,-0.009757,-0.084729,-0.157393,-0.592228,-0.031155,0.222281,-0.115942,0.699786,0.297188,-0.128496,-0.125997,-0.140101,-0.171437,0
Gm13574,-0.259906,0.626852,-0.421278,0.062010,-0.132057,-0.098093,-0.582252,-0.085187,0.181298,-0.136385,0.691838,0.313681,-0.189456,-0.074787,-0.243715,-0.143933,0
NONMMUG034060,-0.217749,0.583567,-0.413283,0.014797,-0.069046,-0.142313,-0.560210,-0.008903,0.127812,-0.091610,0.682478,0.290743,-0.124736,-0.165652,-0.161399,-0.152672,0
NONMMUG036495,-0.368309,0.810163,-0.384820,-0.094992,0.108136,-0.207471,-0.013586,0.009993,0.023998,0.046823,0.685511,-0.320232,-0.229977,-0.199172,0.280477,0.128323,0
NONMMUG039437,-0.258767,0.797183,-0.450787,-0.107801,0.033352,-0.187681,0.108926,0.086287,-0.017719,0.028184,0.721696,-0.331895,-0.218267,-0.259532,0.213246,0.163839,0
NONMMUG009235,-0.280544,0.803275,-0.375009,-0.113321,0.010563,-0.124326,0.076560,0.060284,-0.064193,0.079366,0.653755,-0.372634,-0.203994,-0.299455,0.267048,0.124909,0
NONMMUG033434,-0.283179,0.784940,-0.359972,-0.096315,0.094672,-0.139986,0.075841,0.092984,0.015890,0.039795,0.711199,-0.374934,-0.262843,-0.236339,0.224793,0.113010,0
NONMMUG035589,0.587343,-0.047979,-0.639364,-0.410554,-0.049642,-0.100302,-0.687199,-0.394731,-0.015592,0.835110,1.025007,-0.224993,-0.367117,0.062326,0.243508,0.051307,0
