lncRNA,score,rank
NONMMUG031436,0.758460868,143
RPI002_010092,0.758162297,144
NONMMUG027759,0.757666564,145
NONMMUG041024,0.756908266,146
Gm20421,0.755890447,147
NONMMUG015169,0.755655946,148
Gm12895,0.755500432,149
NONMMUG038447,0.754447383,150
NONMMUG009330,0.753391214,151
NONMMUG025216,0.753375829,152
NONMMUG043033,0.753207642,153
NONMMUG017725,0.751973789,154
AC123834.1,0.751653348,155
NONMMUG021545,0.75149124,156
NONMMUG027107,0.750407938,157
NONMMUG042786,0.74941596,158
RPI002_012075,0.749160852,159
NONMMUG000266,0.748391957,160
NONMMUG021985,0.748028888,161
NONMMUG022099,0.748003262,162
NONMMUG007201,0.747989411,163
NONMMUG014057,0.746466463,164
NONMMUG038085,0.745344543,165
NONMMUG013742,0.744772437,166
NONMMUG043829,0.744707001,167
Gm12896,0.744581516,168
NONMMUG032479,0.742298452,169
Gm16163,0.741791141,170
NONMMUG026209,0.741584888,171
NONMMUG040004,0.741409671,172
NONMMUG032819,0.740859642,173
RPI002_009713,0.740792417,174
NONMMUG012546,0.740792237,175
NONMMUG040888,0.738965759,176
Gm9385,0.738565362,177
NONMMUG000867,0.738448438,178
NONMMUG016043,0.738395874,179
NONMMUG002807,0.738159045,180
linc1317,0.737535499,181
9230111E07Rik,0.736695345,182
NONMMUG016431,0.736654963,183
NONMMUG025918,0.736235201,184
NONMMUG032455,0.736114514,185
NONMMUG025879,0.736054566,186
NONMMUG001826,0.735481318,187
NONMMUG009491,0.735214164,188
NONMMUG028302,0.733790158,189
AC153569.1,0.732055578,190
AC131759.1,0.731841682,191
Gm26315,0.730310927,192
NONMMUG042882,0.730137944,193
NONMMUG011028,0.729805677,194
Gm10497,0.729018657,195
NONMMUG036795,0.728868474,196
NONMMUG034985,0.728187192,197
NONMMUG040996,0.726266042,198
RP24-242N1.1,0.726049847,199
NONMMUG015422,0.725791664,200
NONMMUG004148,0.725659174,201
NONMMUG004108,0.725567323,202
NONMMUG043519,0.72545568,203
Gm14964,0.724989664,204
NONMMUG016302,0.724443482,205
NONMMUG044107,0.724436049,206
NONMMUG039199,0.723794802,207
Gm14486,0.723534649,208
NONMMUG003766,0.723325479,209
NONMMUG024102,0.723078237,210
NONMMUG026722,0.722666747,211
Gm13620,0.722602251,212
7SK,0.721890819,213
1110035H17Rik,0.7217205,214
NONMMUG028821,0.721058821,215
NONMMUG006945,0.721053451,216
NONMMUG031588,0.720555492,217
NONMMUG038715,0.720401821,218
NONMMUG016976,0.720204509,219
NONMMUG019498,0.720203186,220
NONMMUG026351,0.719530114,221
NONMMUG027950,0.719177532,222
AC136147.1,0.717818424,223
NONMMUG020765,0.717466835,224
NONMMUG014861,0.717364488,225
NONMMUG002463,0.716441823,226
NONMMUG020325,0.716131424,227
NONMMUG010040,0.715542605,228
Gm22405,0.7154151,229
Gm26191,0.7154151,230
NONMMUG014826,0.715369,231
NONMMUG031871,0.715229223,232
NONMMUG040880,0.71504441,233
NONMMUG029167,0.714595329,234
NONMMUG041954,0.71451242,235
NONMMUG018952,0.714165646,236
NONMMUG026127,0.713750092,237
NONMMUG014237,0.713443947,238
NONMMUG007837,0.712941452,239
NONMMUG021511,0.711004301,240
NONMMUG037905,0.710984198,241
NONMMUG006865,0.710865134,242
NONMMUG014018,0.710426794,243
NONMMUG024856,0.710298102,244
NONMMUG009393,0.709753295,245
NONMMUG018101,0.709551403,246
NONMMUG019469,0.708554836,247
NONMMUG030062,0.708305897,248
NONMMUG015043,0.70775215,249
2410004N09Rik,0.706929503,250
4930520K10Rik,0.706916693,251
NONMMUG018399,0.706728165,252
AC163097.1,0.70577638,253
4933400F03Rik,0.70532152,254
NONMMUG027763,0.705030888,255
NONMMUG025004,0.704311258,256
NONMMUG042613,0.70325816,257
Gm12063,0.702733323,258
NONMMUG013648,0.70247562,259
AL929563.1,0.702458123,260
NONMMUG021461,0.702418378,261
Gm17104,0.702221211,262
Gm9531,0.702170846,263
NONMMUG008478,0.701088514,264
NONMMUG007504,0.700971041,265
Gm9812,0.700676917,266
NONMMUG015828,0.700646875,267
NONMMUG039362,0.70022942,268
NONMMUG019722,0.699436995,269
NONMMUG003366,0.69916309,270
NONMMUG012892,0.699021727,271
Gm4342,0.69900724,272
CT025649.1,0.698972363,273
Rmrp,0.698614722,274
2700033N17Rik,0.698196028,275
NONMMUG032799,0.698069939,276
NONMMUG042084,0.697955666,277
NONMMUG004282,0.697416617,278
NONMMUG017934,0.696881494,279
NONMMUG022408,0.696460615,280
NONMMUG007158,0.695921274,281
NONMMUG003388,0.695639156,282
NONMMUG011721,0.694565544,283
NONMMUG021059,0.694091047,284
NONMMUG009492,0.693982911,285
NONMMUG020197,0.693947304,286
4931440P22Rik,0.693416512,287
NONMMUG033740,0.693247057,288
NONMMUG033468,0.692860836,289
NONMMUG044218,0.692050848,290
NONMMUG022407,0.691949818,291
NONMMUG028350,0.691807637,292
4732440D04Rik,0.690941054,293
Dnm3os,0.690681355,294
NONMMUG004290,0.690435881,295
Gm13826,0.690007712,296
NONMMUG037653,0.68944474,297
Gm13441,0.68943697,298
AC118227.1,0.689067426,299
RPI002_010170,0.688281882,300
NONMMUG029889,0.687389026,301
NONMMUG042477,0.687236891,302
Gm12999,0.686965486,303
NONMMUG013994,0.686918636,304
NONMMUG021637,0.686773841,305
NONMMUG037781,0.686645426,306
NONMMUG010814,0.6865184,307
NONMMUG004089,0.686480968,308
Gm6706,0.686257642,309
NONMMUG019716,0.686217515,310
Gm15506,0.686015118,311
NONMMUG018627,0.685824321,312
NONMMUG025410,0.685697368,313
NONMMUG003508,0.685370024,314
NONMMUG027131,0.685052135,315
NONMMUG035134,0.684968874,316
NONMMUG025173,0.684787774,317
NONMMUG035447,0.684774777,318
2900008C10Rik,0.68434924,319
NONMMUG002120,0.684308846,320
NONMMUG037877,0.683870745,321
NONMMUG041225,0.683659645,322
NONMMUG008137,0.683559523,323
NONMMUG013549,0.683424839,324
NONMMUG039961,0.683216089,325
NONMMUG042428,0.682563832,326
NONMMUG027835,0.682034176,327
NONMMUG022863,0.681259683,328
B430219N15Rik,0.680926268,329
NONMMUG017361,0.680783961,330
A130006I12Rik,0.6806743,331
NONMMUG016925,0.680353818,332
AC122487.1,0.679841115,333
NONMMUG024648,0.679823184,334
Gm11586,0.679484674,335
NONMMUG013827,0.679232893,336
NONMMUG015409,0.679132037,337
NONMMUG033378,0.678747955,338
NONMMUG007758,0.678086181,339
NONMMUG010121,0.677902251,340
NONMMUG015060,0.677273467,341
NONMMUG019281,0.677238428,342
NONMMUG006927,0.677067019,343
NONMMUG042340,0.676801978,344
Gm12905,0.676709956,345
NONMMUG034283,0.676295962,346
NONMMUG011547,0.676167934,347
NONMMUG037003,0.676101098,348
Gm20628,0.67601903,349
A930035D04Rik,0.675738312,350
NONMMUG033370,0.675523269,351
NONMMUG027834,0.675345156,352
NONMMUG037148,0.674844136,353
NONMMUG017833,0.674723722,354
NONMMUG004151,0.674647482,355
NONMMUG037295,0.674338717,356
NONMMUG025207,0.673755651,357
NONMMUG022093,0.673724825,358
NONMMUG014899,0.673522056,359
NONMMUG006096,0.673111154,360
1700125G02Rik,0.673085826,361
NONMMUG003176,0.672961838,362
NONMMUG017675,0.67243235,363
NONMMUG004692,0.671633516,364
NONMMUG008385,0.671082618,365
NONMMUG015041,0.670860313,366
NONMMUG043249,0.670500783,367
AC123699.1,0.670449429,368
Gm17098,0.670332279,369
C130021I20Rik,0.669961044,370
AC161165.1,0.669933157,371
AC110377.1,0.669806427,372
RPI002_013244,0.669750252,373
NONMMUG018881,0.669458791,374
NONMMUG018184,0.669346487,375
AC167018.1,0.668786066,376
NONMMUG012686,0.668625621,377
NONMMUG006225,0.668398567,378
CT010439.1,0.668175993,379
A230005M16Rik,0.667377138,380
NONMMUG020547,0.667266706,381
RPI002_009282,0.666858298,382
NONMMUG042377,0.666507323,383
Mtag2,0.666504093,384
NONMMUG039377,0.66621845,385
NONMMUG026028,0.666156342,386
NONMMUG014171,0.666004223,387
NONMMUG036695,0.664324366,388
NONMMUG011513,0.664141424,389
NONMMUG040804,0.663253759,390
NONMMUG019073,0.662997904,391
NONMMUG043744,0.662826998,392
NONMMUG015615,0.662551212,393
Gm21960,0.662280884,394
NONMMUG043364,0.662049709,395
1810059H22Rik,0.661941104,396
NONMMUG005224,0.661566801,397
NONMMUG011243,0.661393247,398
NONMMUG014744,0.66117244,399
NONMMUG001590,0.660752827,400
NONMMUG003784,0.660587766,401
NONMMUG021519,0.659829498,402
NONMMUG030866,0.659662944,403
NONMMUG014860,0.659598324,404
NONMMUG018391,0.659312349,405
NONMMUG002604,0.659197,406
NONMMUG029729,0.658611392,407
Gm15747,0.65860419,408
NONMMUG044364,0.65848189,409
NONMMUG012352,0.658438808,410
NONMMUG001762,0.658020129,411
NONMMUG002075,0.657621691,412
NONMMUG036393,0.656924045,413
NONMMUG016211,0.656414157,414
NONMMUG017214,0.656239135,415
Gm12536,0.655886956,416
NONMMUG009403,0.655841888,417
Gm12688,0.65554716,418
NONMMUG045270,0.655515133,419
NONMMUG034333,0.655103483,420
NONMMUG037192,0.655032727,421
NONMMUG008971,0.654901759,422
RP23-272A7.2,0.654849938,423
NONMMUG012558,0.654825512,424
NONMMUG017959,0.654743984,425
A730035I17Rik,0.654421214,426
RPI002_013366,0.654123825,427
NONMMUG015368,0.653559527,428
4930465K10Rik,0.65343692,429
NONMMUG021491,0.653358351,430
NONMMUG013293,0.652610281,431
Gm15317,0.652311565,432
NONMMUG014937,0.652109622,433
NONMMUG014017,0.651492328,434
Gm15672,0.651479243,435
NONMMUG030177,0.651358484,436
NONMMUG009394,0.651286782,437
NONMMUG008742,0.651104524,438
NONMMUG009616,0.650912859,439
NONMMUG037564,0.650893951,440
NONMMUG024656,0.650856113,441
NONMMUG001920,0.650827965,442
NONMMUG019543,0.650725044,443
NONMMUG033975,0.650649725,444
NONMMUG045413,0.650607222,445
AC154378.1,0.649986682,446
NONMMUG008494,0.649935569,447
Gm2018,0.649927032,448
NONMMUG032535,0.649604955,449
NONMMUG038793,0.649457827,450
RPI002_012974,0.649310032,451
NONMMUG042379,0.649003731,452
Gm11532,0.648805712,453
RP23-359C15.10,0.648724498,454
Tsix,0.647684768,455
NONMMUG017566,0.647647121,456
Srsf3,0.647622769,457
1700095B22Rik,0.647485209,458
NONMMUG015077,0.647477316,459
NONMMUG040556,0.647345805,460
NONMMUG016475,0.646414614,461
4933421O10Rik,0.646391278,462
NONMMUG000638,0.646242263,463
NONMMUG010274,0.646183957,464
NONMMUG030211,0.646031502,465
NONMMUG022004,0.645609152,466
NONMMUG022793,0.645595349,467
NONMMUG035355,0.645019656,468
NONMMUG000320,0.645000828,469
AK028326,0.644553688,470
RPI002_012158,0.644523331,471
NONMMUG035937,0.644282955,472
NONMMUG035293,0.64427545,473
NONMMUG045363,0.643943612,474
NONMMUG015167,0.643871789,475
NONMMUG008539,0.643840825,476
6530402F18Rik,0.643695309,477
NONMMUG031549,0.643598274,478
NONMMUG019859,0.643536976,479
NONMMUG021514,0.642960685,480
NONMMUG031563,0.642610064,481
NONMMUG028155,0.642574295,482
NONMMUG029832,0.642218069,483
Gm26035,0.642184444,484
NONMMUG032700,0.642159324,485
AC125483.1,0.64200177,486
AL691505.1,0.641924382,487
NONMMUG010577,0.641920457,488
Gm6291,0.641826152,489
NONMMUG015472,0.641658122,490
NONMMUG010042,0.641626948,491
D630032N06Rik,0.641059051,492
Gm13067,0.641007212,493
AC124550.2,0.640998509,494
AC120148.1,0.640944292,495
NONMMUG035736,0.640856815,496
NONMMUG005040,0.640685249,497
Gm10493,0.640398548,498
NONMMUG012334,0.640346781,499
NONMMUG024232,0.640106581,500
Gm10543,0.639787285,501
AC150685.1,0.639679731,502
NONMMUG041802,0.639539155,503
NONMMUG009020,0.639325173,504
9930038K12Rik,0.639145643,505
NONMMUG044721,0.6391107,506
NONMMUG037348,0.638750886,507
Gm15444,0.638384592,508
NONMMUG039890,0.63828253,509
Gm11535,0.638199393,510
NONMMUG004019,0.638093687,511
Gm17041,0.637728755,512
Gm12236,0.637367122,513
NONMMUG028877,0.637091357,514
NONMMUG004054,0.636859024,515
NONMMUG020123,0.636455319,516
Gm15688,0.636414977,517
Gm20633,0.636165487,518
NONMMUG038044,0.636016314,519
Gm16136,0.635791618,520
Gm17494,0.635789673,521
NONMMUG037154,0.635652459,522
NONMMUG042347,0.635347622,523
NONMMUG042195,0.635283026,524
NONMMUG020042,0.63526387,525
NONMMUG009538,0.635158641,526
RP23-168E14.5,0.634904544,527
NONMMUG023810,0.634462334,528
Malat1,0.634413767,529
NONMMUG004010,0.63411304,530
NONMMUG019392,0.633874718,531
NONMMUG020819,0.633601033,532
NONMMUG004660,0.633347968,533
NONMMUG024192,0.633129577,534
NONMMUG011980,0.633111009,535
NONMMUG013481,0.632959146,536
linc1634,0.632679416,537
NONMMUG012325,0.632337804,538
NONMMUG020725,0.632054842,539
NONMMUG004274,0.632044214,540
NONMMUG043510,0.631900051,541
NONMMUG042318,0.631866859,542
NONMMUG017751,0.631828862,543
NONMMUG006781,0.631575491,544
NONMMUG042633,0.631480847,545
NONMMUG004659,0.631367567,546
NONMMUG026551,0.631071616,547
NONMMUG010687,0.630832143,548
2900072N19Rik,0.63072177,549
Gm7628,0.629844045,550
5730457N03Rik,0.629633151,551
NONMMUG014451,0.629355149,552
NONMMUG010229,0.629188168,553
NONMMUG020465,0.629149632,554
NONMMUG045570,0.628972422,555
NONMMUG017560,0.628286384,556
NONMMUG009944,0.628117026,557
NONMMUG026567,0.628079056,558
NONMMUG032735,0.627993206,559
NONMMUG017110,0.627480187,560
NONMMUG040458,0.62736042,561
NONMMUG036651,0.626975456,562
Gm12481,0.626930031,563
2900052L18Rik,0.62686603,564
NONMMUG009687,0.626448271,565
1700064E03Rik,0.625739648,566
NONMMUG035237,0.625580675,567
NONMMUG006748,0.62512394,568
NONMMUG008430,0.625103775,569
NONMMUG034001,0.625009706,570
NONMMUG022046,0.624908529,571
CR293526.1,0.624787123,572
Gm15857,0.624556169,573
NONMMUG003947,0.62449128,574
NONMMUG043574,0.624394703,575
NONMMUG019411,0.624187462,576
NONMMUG032261,0.623654313,577
Gm12356,0.623556377,578
RPI002_009121,0.622901939,579
NONMMUG021437,0.62281319,580
Dlx6as2,0.622754174,581
Gm11973,0.622630007,582
NONMMUG026771,0.62262169,583
Gm11772,0.622418461,584
Gm20646,0.622009024,585
NONMMUG040402,0.621966206,586
RPI002_012127,0.621770717,587
NONMMUG033189,0.621544075,588
NONMMUG031658,0.621464781,589
Gm13256,0.621416532,590
NONMMUG026645,0.621386775,591
NONMMUG041543,0.621199608,592
Gm12841,0.620984001,593
AC113059.1,0.620829034,594
NONMMUG012211,0.620822208,595
NONMMUG028625,0.62042962,596
AC118017.1,0.620366622,597
Gm23927,0.620316346,598
NONMMUG015675,0.620288626,599
NONMMUG020642,0.620085115,600
AC124756.1,0.619715137,601
AC116511.1,0.619571708,602
AC153830.1,0.618791225,603
NONMMUG013469,0.618733083,604
NONMMUG004234,0.618610334,605
AC134615.1,0.618506335,606
NONMMUG038708,0.618267155,607
NONMMUG016776,0.618015669,608
NONMMUG024609,0.617892577,609
NONMMUG036624,0.617794122,610
AC154861.1,0.617720227,611
NONMMUG020326,0.617692407,612
Gm16067,0.617664682,613
Gm14319,0.617308857,614
NONMMUG018403,0.617300242,615
NONMMUG013085,0.617127853,616
Gm12339,0.616829741,617
NONMMUG027077,0.616287443,618
NONMMUG042242,0.615877287,619
NONMMUG045549,0.615614778,620
AC164597.1,0.61554822,621
R74862,0.615546882,622
NONMMUG032478,0.615485504,623
NONMMUG018448,0.61503596,624
NONMMUG004095,0.615025128,625
AC131780.1,0.614962717,626
NONMMUG016502,0.614751378,627
NONMMUG011618,0.614234178,628
NONMMUG034547,0.614147959,629
NONMMUG027115,0.613984673,630
NONMMUG011109,0.613878937,631
NONMMUG027264,0.61378394,632
NONMMUG005612,0.613584857,633
Gm10586,0.61325053,634
4930599N23Rik,0.61324212,635
NONMMUG031060,0.613220508,636
NONMMUG010094,0.613087998,637
NONMMUG001019,0.612480437,638
Gm11527,0.611994566,639
NONMMUG043625,0.611798281,640
NONMMUG013320,0.611763008,641
NONMMUG022899,0.61166832,642
NONMMUG025556,0.611550802,643
1700024N20Rik,0.611533509,644
NONMMUG026080,0.611531118,645
NONMMUG018077,0.611449368,646
NONMMUG020431,0.611335699,647
NONMMUG029920,0.611234948,648
NONMMUG021767,0.610817381,649
NONMMUG009740,0.610720575,650
BC037032,0.610675634,651
4930474H06Rik,0.610663875,652
NONMMUG006868,0.610448607,653
NONMMUG043050,0.610251747,654
linc1509,0.610210022,655
NONMMUG007844,0.610104596,656
NONMMUG034218,0.609847706,657
Gm24146,0.609684386,658
NONMMUG032662,0.609590211,659
NONMMUG038315,0.609527144,660
4930481B07Rik,0.608714151,661
NONMMUG038010,0.60847678,662
NONMMUG011236,0.608466712,663
NONMMUG041486,0.608308865,664
NONMMUG015240,0.608103458,665
NONMMUG005257,0.607992444,666
Gm22179,0.607543092,667
NONMMUG002817,0.607321249,668
NONMMUG014007,0.607312145,669
NONMMUG028549,0.60707457,670
NONMMUG011198,0.606531896,671
NONMMUG020650,0.606297938,672
Gm24413,0.60610374,673
NONMMUG006522,0.605934857,674
AL928696.1,0.605700555,675
Gm4705,0.605654193,676
Gm13351,0.60475751,677
NONMMUG028497,0.604681324,678
NONMMUG026213,0.604147101,679
NONMMUG043485,0.603840398,680
NONMMUG003799,0.603757487,681
NONMMUG039273,0.603655947,682
NONMMUG032316,0.603449203,683
NONMMUG027084,0.603386866,684
Gm16933,0.603312063,685
NONMMUG019232,0.603280714,686
NONMMUG033949,0.603083147,687
RP23-380O16.4,0.603012125,688
E130102H24Rik,0.602270574,689
Gm13184,0.601985179,690
NONMMUG032182,0.601913881,691
NONMMUG003812,0.601811867,692
NONMMUG011759,0.601781351,693
NONMMUG024389,0.601724115,694
NONMMUG036095,0.601678839,695
NONMMUG046122,0.601610971,696
NONMMUG020981,0.60157696,697
NONMMUG010126,0.601522385,698
Rprl3,0.601396204,699
NONMMUG013988,0.601251039,700
NONMMUG021623,0.601205481,701
NONMMUG013322,0.600860842,702
NONMMUG012551,0.600692155,703
RPI002_008296,0.600615486,704
Gm24447,0.600470101,705
NONMMUG004958,0.599502223,706
NONMMUG020629,0.599489543,707
NONMMUG005645,0.599452017,708
NONMMUG012095,0.599184251,709
NONMMUG023352,0.598961938,710
NONMMUG013586,0.598944118,711
NONMMUG015075,0.598839924,712
NONMMUG017832,0.598744062,713
NONMMUG040824,0.598691091,714
RPI002_008581,0.598347541,715
CT030740.1,0.597871439,716
NONMMUG036486,0.597779932,717
RPI002_013874,0.597615818,718
NONMMUG015418,0.597598991,719
NONMMUG017914,0.597562738,720
Gm12319,0.59747501,721
NONMMUG026993,0.5974566,722
Gm9901,0.597370833,723
NONMMUG006722,0.597167923,724
AC133183.2,0.59683744,725
NONMMUG023019,0.596628016,726
NONMMUG044356,0.5962161,727
AC124453.1,0.596192689,728
Gm15983,0.5959583,729
RPI002_011173,0.595929886,730
Gm12212,0.595879693,731
NONMMUG031078,0.5958513,732
A030003K02Rik,0.595743438,733
NONMMUG041859,0.595588322,734
NONMMUG010705,0.595584008,735
Gm16295,0.595396886,736
NONMMUG020072,0.595377291,737
9330020H09Rik,0.59487337,738
NONMMUG005172,0.59447177,739
NONMMUG041095,0.594452819,740
Gm15334,0.594112521,741
NONMMUG009018,0.594052681,742
NONMMUG001091,0.593971624,743
AL593853.1,0.593938844,744
NONMMUG037574,0.593647625,745
NONMMUG010216,0.593624118,746
NONMMUG019637,0.592997374,747
NONMMUG045571,0.592862676,748
NONMMUG044579,0.592816865,749
NONMMUG039339,0.592258569,750
NONMMUG017009,0.592083503,751
NONMMUG007068,0.591916555,752
NONMMUG006120,0.591896629,753
NONMMUG035241,0.591860792,754
NONMMUG027722,0.591854334,755
NONMMUG012460,0.591716765,756
NONMMUG031116,0.591711701,757
NONMMUG039581,0.591468951,758
RPI002_010874,0.59132389,759
NONMMUG021453,0.591058722,760
NONMMUG004268,0.591013692,761
NONMMUG023476,0.590775371,762
NONMMUG040839,0.590690259,763
Gm13840,0.590370169,764
Gm13194,0.590260152,765
NONMMUG015829,0.590236984,766
AL606528.1,0.589917005,767
NONMMUG013279,0.589754123,768
6720416L17Rik,0.589692916,769
AY172335.12,0.589360531,770
NONMMUG020647,0.589297287,771
NONMMUG019950,0.58894195,772
Gm12966,0.588918788,773
Gm20878,0.588850668,774
NONMMUG019987,0.588766614,775
NONMMUG039271,0.588532373,776
0610038P03Rik,0.587812998,777
Gm16105,0.587799232,778
AC163683.1,0.587616833,779
NONMMUG020135,0.587325626,780
NONMMUG008373,0.587256998,781
NONMMUG013193,0.587164425,782
NONMMUG025034,0.586867506,783
NONMMUG012050,0.586561395,784
NONMMUG025298,0.586455635,785
NONMMUG015657,0.586312472,786
Gm13703,0.586234138,787
NONMMUG005206,0.585788402,788
9230102O04Rik,0.585546691,789
Gm15327,0.585542762,790
NONMMUG026726,0.585173869,791
NONMMUG042632,0.584932599,792
NONMMUG034215,0.58482167,793
NONMMUG009923,0.584570463,794
NONMMUG000690,0.584229821,795
NONMMUG013881,0.584208916,796
NONMMUG035243,0.584099075,797
NONMMUG030024,0.583962943,798
NONMMUG043706,0.583838484,799
NONMMUG006617,0.5838258,800
NONMMUG020242,0.583665481,801
Gm10501,0.583584413,802
NONMMUG020899,0.583087303,803
AC137938.1,0.583039853,804
Gm6265,0.583035914,805
NONMMUG039192,0.582978926,806
NONMMUG007287,0.582933308,807
NONMMUG030536,0.582844786,808
2700086A05Rik,0.582687401,809
RPI002_010888,0.582347071,810
RP23-58L22.2,0.582338045,811
NONMMUG040250,0.582158126,812
NONMMUG016012,0.582081148,813
RP24-64D24.2,0.582062497,814
Gm23973,0.582020799,815
Gm12764,0.581852313,816
NONMMUG038365,0.581834436,817
NONMMUG000311,0.58178468,818
NONMMUG026226,0.581762056,819
NONMMUG036303,0.581712649,820
2700081L22Rik,0.581593853,821
NONMMUG020170,0.581480055,822
NONMMUG024045,0.581413943,823
NONMMUG038360,0.581322657,824
NONMMUG046010,0.581027457,825
NONMMUG032936,0.580928095,826
AC104908.1,0.580777836,827
NONMMUG027686,0.580696274,828
NONMMUG020360,0.580672482,829
NONMMUG045908,0.580479065,830
NONMMUG010575,0.580478348,831
NONMMUG011830,0.580421814,832
Gm15051,0.580320713,833
4933439C10Rik,0.580302256,834
NONMMUG014598,0.58018909,835
NONMMUG044439,0.580098475,836
NONMMUG019362,0.579988123,837
NONMMUG010756,0.579815353,838
NONMMUG018711,0.579744141,839
NONMMUG015064,0.579725911,840
NONMMUG011936,0.579614617,841
NONMMUG045579,0.579502646,842
Gm16047,0.57938432,843
4930458D05Rik,0.579238901,844
NONMMUG019955,0.579152072,845
AL805969.1,0.578997631,846
AC020971.1,0.578826503,847
NONMMUG005307,0.578798119,848
NONMMUG031179,0.578716218,849
NONMMUG010230,0.578479555,850
